cohort,cohort_size,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11
2024-01,5026,1.0,0.4992,0.395,0.3288,0.221,0.204,0.2126,0.1837,0.1797,0.1529,0.1776,0.1656
2024-02,4859,1.0,0.5294,0.3628,0.3174,0.2408,0.2476,0.209,0.1863,0.1664,0.1945,0.1569,0.1414
2024-03,4670,1.0,0.5273,0.3883,0.3186,0.3028,0.2219,0.1998,0.1737,0.1923,0.1926,0.1577,0.1332
2024-04,5253,1.0,0.5349,0.3909,0.2967,0.2646,0.2323,0.2144,0.2074,0.1845,0.1836,0.1614,0.1558
2024-05,5284,1.0,0.5136,0.3706,0.2972,0.2545,0.2599,0.1927,0.2094,0.1463,0.1633,0.1633,0.1617
2024-06,5063,1.0,0.513,0.3708,0.3272,0.2562,0.2045,0.1873,0.1716,0.1899,0.1728,0.1738,0.1415
2024-07,5266,1.0,0.5138,0.3891,0.2968,0.2527,0.2224,0.1861,0.1997,0.1706,0.1702,0.1696,0.1589
2024-08,5295,1.0,0.5115,0.3784,0.2763,0.2311,0.2035,0.1901,0.198,0.1619,0.1624,0.186,0.1429
2024-09,5093,1.0,0.6359,0.471,0.4032,0.3768,0.2955,0.3187,0.2948,0.2681,0.2411,0.2614,0.2394
2024-10,4629,1.0,0.672,0.4852,0.3895,0.3636,0.3344,0.3372,0.3067,0.2871,0.2993,0.2362,0.2372
2024-11,4147,1.0,0.6125,0.5027,0.4056,0.3306,0.3097,0.3163,0.3068,0.3199,0.3283,0.2683,0.2302
2024-12,5707,1.0,0.6237,0.4817,0.3978,0.3572,0.3513,0.3131,0.2868,0.2593,0.2365,0.2503,0.2489
