segment,control,treatment,lift,p_value,significant
age_group=35-44,0.5743,0.6847,11.0,0.0,True
age_group=25-34,0.5806,0.612,3.1,0.0648,False
age_group=45+,0.5181,0.5319,1.4,0.6294,False
age_group=18-24,0.5259,0.5788,5.3,0.0179,True
device=android,0.5363,0.627,9.1,0.0,True
device=ios,0.5866,0.6022,1.6,0.3285,False
device=web,0.5479,0.6162,6.8,0.0096,True
channel=website,0.5376,0.5759,3.8,0.0558,False
channel=app_store,0.5671,0.5982,3.1,0.0897,False
channel=google_play,0.5678,0.6456,7.8,0.0,True
channel=referral,0.558,0.6585,10.0,0.0001,True
