bucket_id,channel,users,marginal_cac_eur,arpu_eur,monthly_churn_rate,ltv_eur
1,referral,1000,18.16,4.4,0.03,102.67
2,referral,1000,17.98,4.4,0.03,102.67
3,referral,1000,19.57,4.4,0.03,102.67
4,referral,1000,20.3,4.4,0.03,102.67
5,referral,1000,19.17,4.4,0.03,102.67
6,referral,1000,20.17,4.4,0.03,102.67
7,referral,1000,21.73,4.4,0.03,102.67
8,referral,1000,22.11,4.4,0.03,102.67
9,referral,1000,23.01,4.4,0.03,102.67
10,referral,1000,23.14,4.4,0.03,102.67
11,referral,1000,25.13,4.4,0.03,102.67
12,referral,1000,25.84,4.4,0.03,102.67
13,referral,1000,26.09,4.4,0.03,102.67
14,referral,1000,27.76,4.4,0.03,102.67
15,referral,1000,28.08,4.4,0.03,102.67
16,referral,1000,27.82,4.4,0.03,102.67
17,referral,1000,29.78,4.4,0.03,102.67
18,referral,1000,29.5,4.4,0.03,102.67
19,referral,1000,32.14,4.4,0.03,102.67
20,referral,1000,32.25,4.4,0.03,102.67
21,referral,1000,33.12,4.4,0.03,102.67
22,referral,1000,33.65,4.4,0.03,102.67
23,referral,1000,36.72,4.4,0.03,102.67
24,referral,1000,36.36,4.4,0.03,102.67
25,referral,1000,37.18,4.4,0.03,102.67
26,referral,1000,38.44,4.4,0.03,102.67
27,referral,1000,40.7,4.4,0.03,102.67
28,referral,1000,41.76,4.4,0.03,102.67
29,referral,1000,43.13,4.4,0.03,102.67
30,referral,1000,44.5,4.4,0.03,102.67
31,referral,1000,48.22,4.4,0.03,102.67
32,referral,1000,46.15,4.4,0.03,102.67
33,referral,1000,47.44,4.4,0.03,102.67
34,referral,1000,48.47,4.4,0.03,102.67
35,referral,1000,52.19,4.4,0.03,102.67
36,referral,1000,54.63,4.4,0.03,102.67
37,referral,1000,54.31,4.4,0.03,102.67
38,referral,1000,54.78,4.4,0.03,102.67
39,referral,1000,56.52,4.4,0.03,102.67
40,referral,1000,60.93,4.4,0.03,102.67
41,in_app,1000,30.67,4.5,0.033,95.45
42,in_app,1000,30.75,4.5,0.033,95.45
43,in_app,1000,29.9,4.5,0.033,95.45
44,in_app,1000,30.98,4.5,0.033,95.45
45,in_app,1000,31.13,4.5,0.033,95.45
46,in_app,1000,31.49,4.5,0.033,95.45
47,in_app,1000,32.38,4.5,0.033,95.45
48,in_app,1000,32.03,4.5,0.033,95.45
49,in_app,1000,32.74,4.5,0.033,95.45
50,in_app,1000,32.42,4.5,0.033,95.45
51,in_app,1000,32.91,4.5,0.033,95.45
52,in_app,1000,33.53,4.5,0.033,95.45
53,in_app,1000,31.73,4.5,0.033,95.45
54,in_app,1000,33.14,4.5,0.033,95.45
55,in_app,1000,33.27,4.5,0.033,95.45
56,in_app,1000,33.38,4.5,0.033,95.45
57,in_app,1000,34.03,4.5,0.033,95.45
58,in_app,1000,36.16,4.5,0.033,95.45
59,in_app,1000,33.99,4.5,0.033,95.45
60,in_app,1000,36.22,4.5,0.033,95.45
61,in_app,1000,33.7,4.5,0.033,95.45
62,in_app,1000,35.43,4.5,0.033,95.45
63,in_app,1000,36.27,4.5,0.033,95.45
64,in_app,1000,37.04,4.5,0.033,95.45
65,in_app,1000,37.49,4.5,0.033,95.45
66,in_app,1000,37.89,4.5,0.033,95.45
67,in_app,1000,36.94,4.5,0.033,95.45
68,in_app,1000,37.12,4.5,0.033,95.45
69,in_app,1000,38.94,4.5,0.033,95.45
70,in_app,1000,38.06,4.5,0.033,95.45
71,in_app,1000,37.12,4.5,0.033,95.45
72,in_app,1000,37.6,4.5,0.033,95.45
73,in_app,1000,38.17,4.5,0.033,95.45
74,in_app,1000,40.18,4.5,0.033,95.45
75,in_app,1000,40.09,4.5,0.033,95.45
76,in_app,1000,41.09,4.5,0.033,95.45
77,in_app,1000,40.08,4.5,0.033,95.45
78,in_app,1000,41.14,4.5,0.033,95.45
79,in_app,1000,42.06,4.5,0.033,95.45
80,in_app,1000,41.25,4.5,0.033,95.45
81,in_app,1000,42.56,4.5,0.033,95.45
82,in_app,1000,41.5,4.5,0.033,95.45
83,in_app,1000,42.23,4.5,0.033,95.45
84,in_app,1000,42.56,4.5,0.033,95.45
85,in_app,1000,41.86,4.5,0.033,95.45
86,in_app,1000,44.43,4.5,0.033,95.45
87,in_app,1000,43.54,4.5,0.033,95.45
88,in_app,1000,44.55,4.5,0.033,95.45
89,in_app,1000,45.55,4.5,0.033,95.45
90,in_app,1000,45.89,4.5,0.033,95.45
91,in_app,1000,46.58,4.5,0.033,95.45
92,in_app,1000,45.92,4.5,0.033,95.45
93,in_app,1000,45.85,4.5,0.033,95.45
94,in_app,1000,46.72,4.5,0.033,95.45
95,in_app,1000,44.84,4.5,0.033,95.45
96,in_app,1000,45.56,4.5,0.033,95.45
97,in_app,1000,46.12,4.5,0.033,95.45
98,in_app,1000,46.98,4.5,0.033,95.45
99,in_app,1000,49.43,4.5,0.033,95.45
100,in_app,1000,47.92,4.5,0.033,95.45
101,in_app,1000,49.11,4.5,0.033,95.45
102,in_app,1000,52.04,4.5,0.033,95.45
103,in_app,1000,49.97,4.5,0.033,95.45
104,in_app,1000,52.07,4.5,0.033,95.45
105,in_app,1000,49.93,4.5,0.033,95.45
106,in_app,1000,51.48,4.5,0.033,95.45
107,in_app,1000,50.75,4.5,0.033,95.45
108,in_app,1000,52.14,4.5,0.033,95.45
109,in_app,1000,54.46,4.5,0.033,95.45
110,in_app,1000,50.8,4.5,0.033,95.45
111,in_app,1000,54.73,4.5,0.033,95.45
112,in_app,1000,54.87,4.5,0.033,95.45
113,in_app,1000,53.96,4.5,0.033,95.45
114,in_app,1000,53.0,4.5,0.033,95.45
115,in_app,1000,55.99,4.5,0.033,95.45
116,in_app,1000,55.45,4.5,0.033,95.45
117,in_app,1000,57.21,4.5,0.033,95.45
118,in_app,1000,57.34,4.5,0.033,95.45
119,in_app,1000,60.56,4.5,0.033,95.45
120,in_app,1000,57.85,4.5,0.033,95.45
121,in_app,1000,56.96,4.5,0.033,95.45
122,in_app,1000,59.57,4.5,0.033,95.45
123,in_app,1000,60.15,4.5,0.033,95.45
124,in_app,1000,62.72,4.5,0.033,95.45
125,in_app,1000,62.29,4.5,0.033,95.45
126,in_app,1000,61.94,4.5,0.033,95.45
127,in_app,1000,64.51,4.5,0.033,95.45
128,in_app,1000,60.1,4.5,0.033,95.45
129,in_app,1000,61.64,4.5,0.033,95.45
130,in_app,1000,61.62,4.5,0.033,95.45
131,in_app,1000,63.16,4.5,0.033,95.45
132,in_app,1000,61.79,4.5,0.033,95.45
133,in_app,1000,66.23,4.5,0.033,95.45
134,in_app,1000,65.11,4.5,0.033,95.45
135,in_app,1000,63.18,4.5,0.033,95.45
136,in_app,1000,64.62,4.5,0.033,95.45
137,in_app,1000,67.85,4.5,0.033,95.45
138,in_app,1000,69.49,4.5,0.033,95.45
139,in_app,1000,72.45,4.5,0.033,95.45
140,in_app,1000,74.96,4.5,0.033,95.45
141,in_app,1000,70.38,4.5,0.033,95.45
142,in_app,1000,68.02,4.5,0.033,95.45
143,in_app,1000,66.17,4.5,0.033,95.45
144,in_app,1000,71.86,4.5,0.033,95.45
145,in_app,1000,70.14,4.5,0.033,95.45
146,in_app,1000,71.59,4.5,0.033,95.45
147,in_app,1000,71.77,4.5,0.033,95.45
148,in_app,1000,73.41,4.5,0.033,95.45
149,in_app,1000,76.73,4.5,0.033,95.45
150,in_app,1000,75.33,4.5,0.033,95.45
151,in_app,1000,75.25,4.5,0.033,95.45
152,in_app,1000,73.88,4.5,0.033,95.45
153,in_app,1000,73.03,4.5,0.033,95.45
154,in_app,1000,76.41,4.5,0.033,95.45
155,in_app,1000,78.07,4.5,0.033,95.45
156,in_app,1000,83.04,4.5,0.033,95.45
157,in_app,1000,79.83,4.5,0.033,95.45
158,in_app,1000,82.55,4.5,0.033,95.45
159,in_app,1000,79.65,4.5,0.033,95.45
160,in_app,1000,78.65,4.5,0.033,95.45
161,partner,1000,48.55,4.4,0.035,88.0
162,partner,1000,49.54,4.4,0.035,88.0
163,partner,1000,54.56,4.4,0.035,88.0
164,partner,1000,50.66,4.4,0.035,88.0
165,partner,1000,53.92,4.4,0.035,88.0
166,partner,1000,51.82,4.4,0.035,88.0
167,partner,1000,55.45,4.4,0.035,88.0
168,partner,1000,55.26,4.4,0.035,88.0
169,partner,1000,55.07,4.4,0.035,88.0
170,partner,1000,55.96,4.4,0.035,88.0
171,partner,1000,55.63,4.4,0.035,88.0
172,partner,1000,58.24,4.4,0.035,88.0
173,partner,1000,57.41,4.4,0.035,88.0
174,partner,1000,56.78,4.4,0.035,88.0
175,partner,1000,57.41,4.4,0.035,88.0
176,partner,1000,60.77,4.4,0.035,88.0
177,partner,1000,64.13,4.4,0.035,88.0
178,partner,1000,62.3,4.4,0.035,88.0
179,partner,1000,62.57,4.4,0.035,88.0
180,partner,1000,64.14,4.4,0.035,88.0
181,partner,1000,66.93,4.4,0.035,88.0
182,partner,1000,65.65,4.4,0.035,88.0
183,partner,1000,65.24,4.4,0.035,88.0
184,partner,1000,69.12,4.4,0.035,88.0
185,partner,1000,68.62,4.4,0.035,88.0
186,partner,1000,71.77,4.4,0.035,88.0
187,partner,1000,69.87,4.4,0.035,88.0
188,partner,1000,67.79,4.4,0.035,88.0
189,partner,1000,68.34,4.4,0.035,88.0
190,partner,1000,75.75,4.4,0.035,88.0
191,partner,1000,76.88,4.4,0.035,88.0
192,partner,1000,73.63,4.4,0.035,88.0
193,partner,1000,74.11,4.4,0.035,88.0
194,partner,1000,79.25,4.4,0.035,88.0
195,partner,1000,74.34,4.4,0.035,88.0
196,partner,1000,75.78,4.4,0.035,88.0
197,partner,1000,80.39,4.4,0.035,88.0
198,partner,1000,78.92,4.4,0.035,88.0
199,partner,1000,80.87,4.4,0.035,88.0
200,partner,1000,81.51,4.4,0.035,88.0
201,partner,1000,83.8,4.4,0.035,88.0
202,partner,1000,87.56,4.4,0.035,88.0
203,partner,1000,85.32,4.4,0.035,88.0
204,partner,1000,87.84,4.4,0.035,88.0
205,partner,1000,81.9,4.4,0.035,88.0
206,partner,1000,88.25,4.4,0.035,88.0
207,partner,1000,87.24,4.4,0.035,88.0
208,partner,1000,87.33,4.4,0.035,88.0
209,partner,1000,89.38,4.4,0.035,88.0
210,partner,1000,92.04,4.4,0.035,88.0
211,partner,1000,96.74,4.4,0.035,88.0
212,partner,1000,91.56,4.4,0.035,88.0
213,partner,1000,96.66,4.4,0.035,88.0
214,partner,1000,96.38,4.4,0.035,88.0
215,partner,1000,98.07,4.4,0.035,88.0
216,partner,1000,103.32,4.4,0.035,88.0
217,partner,1000,103.22,4.4,0.035,88.0
218,partner,1000,107.01,4.4,0.035,88.0
219,partner,1000,103.71,4.4,0.035,88.0
220,partner,1000,103.31,4.4,0.035,88.0
221,partner,1000,106.14,4.4,0.035,88.0
222,partner,1000,109.01,4.4,0.035,88.0
223,partner,1000,110.18,4.4,0.035,88.0
224,partner,1000,107.38,4.4,0.035,88.0
225,partner,1000,112.71,4.4,0.035,88.0
226,partner,1000,114.62,4.4,0.035,88.0
227,partner,1000,124.0,4.4,0.035,88.0
228,partner,1000,123.33,4.4,0.035,88.0
229,partner,1000,115.22,4.4,0.035,88.0
230,partner,1000,118.72,4.4,0.035,88.0
231,partner,1000,115.96,4.4,0.035,88.0
232,partner,1000,120.65,4.4,0.035,88.0
233,partner,1000,125.57,4.4,0.035,88.0
234,partner,1000,130.53,4.4,0.035,88.0
235,partner,1000,124.79,4.4,0.035,88.0
236,partner,1000,126.67,4.4,0.035,88.0
237,partner,1000,122.42,4.4,0.035,88.0
238,partner,1000,131.87,4.4,0.035,88.0
239,partner,1000,129.93,4.4,0.035,88.0
240,partner,1000,133.76,4.4,0.035,88.0
241,paid_social,1000,58.42,4.2,0.04,73.5
242,paid_social,1000,60.37,4.2,0.04,73.5
243,paid_social,1000,57.87,4.2,0.04,73.5
244,paid_social,1000,58.94,4.2,0.04,73.5
245,paid_social,1000,66.18,4.2,0.04,73.5
246,paid_social,1000,60.35,4.2,0.04,73.5
247,paid_social,1000,61.26,4.2,0.04,73.5
248,paid_social,1000,67.44,4.2,0.04,73.5
249,paid_social,1000,70.12,4.2,0.04,73.5
250,paid_social,1000,62.8,4.2,0.04,73.5
251,paid_social,1000,64.95,4.2,0.04,73.5
252,paid_social,1000,66.96,4.2,0.04,73.5
253,paid_social,1000,70.35,4.2,0.04,73.5
254,paid_social,1000,65.49,4.2,0.04,73.5
255,paid_social,1000,67.6,4.2,0.04,73.5
256,paid_social,1000,70.32,4.2,0.04,73.5
257,paid_social,1000,70.25,4.2,0.04,73.5
258,paid_social,1000,69.18,4.2,0.04,73.5
259,paid_social,1000,70.33,4.2,0.04,73.5
260,paid_social,1000,68.31,4.2,0.04,73.5
261,paid_social,1000,71.38,4.2,0.04,73.5
262,paid_social,1000,71.97,4.2,0.04,73.5
263,paid_social,1000,73.72,4.2,0.04,73.5
264,paid_social,1000,72.65,4.2,0.04,73.5
265,paid_social,1000,75.6,4.2,0.04,73.5
266,paid_social,1000,77.51,4.2,0.04,73.5
267,paid_social,1000,76.26,4.2,0.04,73.5
268,paid_social,1000,77.41,4.2,0.04,73.5
269,paid_social,1000,77.42,4.2,0.04,73.5
270,paid_social,1000,78.0,4.2,0.04,73.5
271,paid_social,1000,77.0,4.2,0.04,73.5
272,paid_social,1000,80.17,4.2,0.04,73.5
273,paid_social,1000,79.91,4.2,0.04,73.5
274,paid_social,1000,85.95,4.2,0.04,73.5
275,paid_social,1000,85.46,4.2,0.04,73.5
276,paid_social,1000,83.3,4.2,0.04,73.5
277,paid_social,1000,81.19,4.2,0.04,73.5
278,paid_social,1000,81.05,4.2,0.04,73.5
279,paid_social,1000,87.63,4.2,0.04,73.5
280,paid_social,1000,86.05,4.2,0.04,73.5
281,paid_social,1000,87.4,4.2,0.04,73.5
282,paid_social,1000,82.39,4.2,0.04,73.5
283,paid_social,1000,90.17,4.2,0.04,73.5
284,paid_social,1000,89.73,4.2,0.04,73.5
285,paid_social,1000,86.35,4.2,0.04,73.5
286,paid_social,1000,88.87,4.2,0.04,73.5
287,paid_social,1000,91.68,4.2,0.04,73.5
288,paid_social,1000,91.93,4.2,0.04,73.5
289,paid_social,1000,91.81,4.2,0.04,73.5
290,paid_social,1000,93.17,4.2,0.04,73.5
291,paid_social,1000,93.6,4.2,0.04,73.5
292,paid_social,1000,95.6,4.2,0.04,73.5
293,paid_social,1000,100.27,4.2,0.04,73.5
294,paid_social,1000,89.44,4.2,0.04,73.5
295,paid_social,1000,97.09,4.2,0.04,73.5
296,paid_social,1000,99.2,4.2,0.04,73.5
297,paid_social,1000,100.46,4.2,0.04,73.5
298,paid_social,1000,99.36,4.2,0.04,73.5
299,paid_social,1000,96.05,4.2,0.04,73.5
300,paid_social,1000,103.32,4.2,0.04,73.5
301,paid_social,1000,108.59,4.2,0.04,73.5
302,paid_social,1000,99.38,4.2,0.04,73.5
303,paid_social,1000,107.85,4.2,0.04,73.5
304,paid_social,1000,105.03,4.2,0.04,73.5
305,paid_social,1000,106.85,4.2,0.04,73.5
306,paid_social,1000,104.6,4.2,0.04,73.5
307,paid_social,1000,107.9,4.2,0.04,73.5
308,paid_social,1000,114.28,4.2,0.04,73.5
309,paid_social,1000,112.93,4.2,0.04,73.5
310,paid_social,1000,117.82,4.2,0.04,73.5
