transaction_id,user_id,tx_time,hour,amount,is_anomaly
0,720,2025-01-17 00:00:00,12.08,65.95,0
1,592,2025-03-04 11:34:00,9.692,15.61,0
2,165,2025-05-10 06:03:00,9.503,264.17,0
3,796,2025-03-17 18:47:00,8.131,14.37,0
4,794,2025-01-31 08:34:00,21.697,78.65,0
5,32,2025-06-27 05:54:00,17.171,97.14,0
6,20,2025-02-05 15:22:00,12.497,11.98,0
7,195,2025-01-16 03:43:00,16.107,24.43,0
8,635,2025-03-10 14:57:00,16.667,29.12,0
9,478,2025-01-21 02:19:00,10.561,567.61,0
10,410,2025-04-17 14:46:00,12.044,28.76,0
11,332,2025-03-20 08:47:00,15.662,14.08,0
12,383,2025-06-16 18:31:00,19.757,51.87,0
13,510,2025-01-31 11:07:00,9.814,15.14,0
14,51,2025-02-18 09:14:00,20.017,33.32,0
15,469,2025-05-04 06:27:00,16.526,24.32,0
16,176,2025-05-06 15:02:00,14.855,52.97,0
17,630,2025-03-06 22:07:00,10.015,22.34,0
18,156,2025-06-15 22:09:00,15.699,20.05,0
19,56,2025-06-02 07:36:00,12.951,82.98,0
20,347,2025-04-21 02:43:00,10.646,44.11,0
21,352,2025-05-15 17:59:00,20.32,35.8,0
22,414,2025-04-07 10:35:00,14.448,7.5,0
23,688,2025-03-26 17:53:00,9.117,57.56,0
24,559,2025-04-09 05:08:00,12.23,24.02,0
25,290,2025-06-02 02:18:00,10.541,43.73,0
26,581,2025-01-03 22:19:00,21.149,8.0,0
27,403,2025-01-19 03:32:00,11.403,43.69,0
28,179,2025-03-27 10:31:00,15.09,40.85,0
29,17,2025-04-15 14:20:00,18.437,29.13,0
30,3,2025-02-02 07:52:00,10.219,17.23,0
31,179,2025-04-19 22:10:00,14.125,88.96,0
32,655,2025-01-05 09:43:00,17.146,19.26,0
33,370,2025-02-14 06:48:00,20.347,72.49,0
34,361,2025-03-24 18:42:00,17.157,80.89,0
35,319,2025-01-09 22:21:00,9.121,17.99,0
36,204,2025-04-25 01:18:00,12.502,63.67,0
37,571,2025-04-07 08:03:00,12.913,24.82,0
38,10,2025-04-12 18:13:00,13.436,58.33,0
39,489,2025-04-03 11:05:00,21.183,16.55,0
40,749,2025-05-05 10:47:00,8.5,31.92,0
41,704,2025-04-28 15:36:00,12.23,37.23,0
42,295,2025-04-29 19:30:00,14.894,34.19,0
43,683,2025-02-08 07:51:00,9.21,47.48,0
44,190,2025-05-04 16:53:00,14.77,18.33,0
45,192,2025-02-02 08:03:00,9.5,22.5,0
46,274,2025-01-04 20:33:00,19.729,61.96,0
47,14,2025-06-26 00:35:00,11.781,25.17,0
48,212,2025-02-02 03:59:00,15.322,23.51,0
49,683,2025-01-21 11:08:00,16.656,17.85,0
50,609,2025-02-24 13:33:00,12.28,24.22,0
51,263,2025-06-29 21:26:00,1.392,15.39,1
52,249,2025-06-05 13:26:00,15.147,62.73,0
53,277,2025-05-10 14:17:00,19.276,24.44,0
54,95,2025-02-03 20:35:00,14.338,14.71,0
55,126,2025-04-24 06:40:00,14.873,29.75,0
56,794,2025-05-30 21:51:00,16.342,11.45,0
57,554,2025-03-03 03:51:00,13.953,17.65,0
58,542,2025-02-16 15:45:00,18.165,103.43,0
59,224,2025-06-06 04:54:00,8.069,14.66,0
60,684,2025-01-24 15:59:00,14.762,31.21,0
61,141,2025-06-13 19:27:00,20.922,204.48,0
62,774,2025-03-28 05:29:00,16.623,42.72,0
63,402,2025-05-10 22:32:00,14.81,23.26,0
64,264,2025-03-08 23:03:00,18.808,7.14,0
65,600,2025-05-08 18:43:00,13.502,40.0,0
66,333,2025-06-16 11:41:00,14.541,18.94,0
67,215,2025-03-30 18:25:00,10.732,54.68,0
68,546,2025-02-08 04:34:00,9.739,20.38,0
69,577,2025-01-15 00:14:00,8.357,43.69,0
70,482,2025-06-16 14:59:00,18.241,111.32,0
71,369,2025-06-29 19:48:00,14.555,59.88,0
72,263,2025-04-28 04:48:00,21.151,12.19,0
73,323,2025-01-03 19:11:00,10.475,37.58,0
74,699,2025-06-09 06:50:00,11.416,75.65,0
75,287,2025-03-31 04:07:00,16.942,10.38,0
76,773,2025-02-12 01:59:00,8.764,134.98,0
77,116,2025-03-08 02:01:00,15.048,39.18,0
78,130,2025-06-19 12:47:00,9.73,55.51,0
79,266,2025-05-20 16:53:00,10.26,26.58,0
80,2,2025-04-18 10:55:00,15.169,36.32,0
81,703,2025-05-13 10:34:00,15.967,17.11,0
82,272,2025-06-02 14:00:00,10.968,120.66,0
83,81,2025-04-24 01:10:00,11.797,146.91,0
84,494,2025-02-26 11:35:00,11.978,194.94,0
85,766,2025-01-14 10:52:00,9.985,8.52,0
86,794,2025-01-23 04:02:00,21.52,45.56,0
87,85,2025-02-12 15:11:00,17.691,49.45,0
88,634,2025-05-19 08:18:00,9.552,19.9,0
89,289,2025-01-17 22:45:00,13.0,47.16,0
90,668,2025-01-23 20:59:00,10.416,11.09,0
91,485,2025-06-26 05:10:00,11.281,113.59,0
92,585,2025-03-14 01:42:00,21.153,10.27,0
93,670,2025-01-24 00:01:00,9.915,42.76,0
94,716,2025-06-07 01:06:00,20.317,65.81,0
95,114,2025-06-24 02:16:00,19.786,21.67,0
96,579,2025-04-01 17:51:00,18.411,104.94,0
97,112,2025-01-21 06:54:00,14.954,8.13,0
98,755,2025-04-23 23:09:00,11.617,34.15,0
99,502,2025-06-05 04:50:00,19.634,9.08,0
100,154,2025-06-23 18:46:00,19.677,18.85,0
101,234,2025-04-14 10:24:00,15.354,23.58,0
102,716,2025-06-19 23:05:00,8.667,22.45,0
103,515,2025-05-30 17:03:00,10.701,96.74,0
104,183,2025-01-30 01:05:00,8.785,13.7,0
105,656,2025-04-25 03:01:00,10.518,10.09,0
106,574,2025-04-30 19:56:00,15.118,24.79,0
107,61,2025-05-19 09:22:00,19.958,38.32,0
108,226,2025-04-06 15:24:00,17.145,52.35,0
109,675,2025-05-12 13:06:00,16.413,88.09,0
110,280,2025-04-16 04:17:00,18.471,6.27,0
111,30,2025-02-16 20:00:00,16.959,135.13,0
112,483,2025-03-29 03:12:00,14.208,18.19,0
113,719,2025-06-18 07:24:00,19.415,28.01,0
114,445,2025-06-01 16:30:00,12.343,35.65,0
115,780,2025-04-26 20:33:00,20.994,6.17,0
116,91,2025-02-27 22:38:00,9.627,24.76,0
117,533,2025-02-06 09:00:00,16.928,77.4,0
