user_id,segment,channel,cac_eur,monthly_arpu_eur,contribution_margin,monthly_churn_rate,months_retained,ltv_eur
1,young_professionals,in_app,33.69,3.33,0.7,0.035,6,14.0
2,young_professionals,referral,21.7,5.04,0.7,0.0298,5,17.65
3,young_professionals,paid_social,72.58,4.18,0.7,0.0368,44,128.64
4,young_professionals,in_app,41.85,6.77,0.7,0.035,12,56.87
5,young_professionals,partner,49.37,4.7,0.7,0.0315,41,134.88
6,young_professionals,paid_social,66.38,5.75,0.7,0.0368,7,28.17
7,young_professionals,in_app,38.17,5.94,0.7,0.035,13,54.07
8,young_professionals,in_app,34.83,4.09,0.7,0.035,5,14.32
9,young_professionals,referral,25.74,5.38,0.7,0.0298,60,225.97
10,young_professionals,referral,24.53,6.72,0.7,0.0298,17,79.99
11,young_professionals,referral,29.0,5.43,0.7,0.0298,53,201.54
12,young_professionals,paid_social,68.79,5.84,0.7,0.0368,60,245.08
13,young_professionals,in_app,36.21,5.15,0.7,0.035,21,75.68
14,young_professionals,in_app,34.08,5.01,0.7,0.035,1,3.51
15,young_professionals,referral,28.44,4.32,0.7,0.0298,37,111.83
16,young_professionals,referral,23.27,4.23,0.7,0.0298,35,103.64
17,young_professionals,in_app,39.55,5.31,0.7,0.035,60,222.86
18,young_professionals,partner,54.32,4.73,0.7,0.0315,3,9.93
19,young_professionals,in_app,36.27,5.09,0.7,0.035,21,74.88
20,young_professionals,in_app,39.78,4.17,0.7,0.035,45,131.33
21,young_professionals,in_app,31.47,7.55,0.7,0.035,32,169.11
22,young_professionals,referral,26.79,3.42,0.7,0.0298,11,26.36
23,young_professionals,paid_social,72.96,5.17,0.7,0.0368,1,3.62
24,young_professionals,paid_social,69.89,3.72,0.7,0.0368,20,52.1
25,young_professionals,in_app,31.86,2.72,0.7,0.035,11,20.93
26,young_professionals,referral,26.22,5.36,0.7,0.0298,2,7.5
27,young_professionals,referral,26.33,2.43,0.7,0.0298,17,28.92
28,young_professionals,partner,46.98,1.37,0.7,0.0315,9,8.66
29,young_professionals,referral,27.1,5.45,0.7,0.0298,2,7.63
30,young_professionals,in_app,36.95,8.11,0.7,0.035,60,340.59
31,young_professionals,in_app,34.42,2.47,0.7,0.035,6,10.36
32,young_professionals,paid_social,74.37,4.65,0.7,0.0368,24,78.05
