journey_id,touch_order,channel,revenue
0,0,email,230.0
0,1,referral,230.0
0,2,referral,230.0
1,0,display,71.28
2,0,email,200.0
2,1,email,200.0
2,2,referral,200.0
3,0,paid_social,170.0
3,1,paid_social,170.0
4,0,display,210.0
4,1,referral,210.0
4,2,referral,210.0
5,0,display,170.52
5,1,paid_social,170.52
6,0,paid_social,150.0
6,1,email,150.0
7,0,referral,220.0
7,1,display,220.0
7,2,email,220.0
7,3,email,220.0
8,0,referral,180.0
8,1,paid_social,180.0
9,0,display,110.0
9,1,email,110.0
10,0,display,153.53
11,0,organic,114.65
12,0,organic,155.67
12,1,organic,155.67
13,0,paid_social,130.0
13,1,display,130.0
14,0,email,131.68
15,0,display,170.05
15,1,display,170.05
16,0,organic,157.44
17,0,email,154.47
18,0,email,180.0
18,1,organic,180.0
18,2,email,180.0
19,0,paid_social,218.21
19,1,paid_social,218.21
20,0,email,160.0
20,1,referral,160.0
21,0,referral,230.0
21,1,email,230.0
21,2,referral,230.0
22,0,referral,120.0
23,0,display,120.0
23,1,organic,120.0
24,0,paid_social,180.0
24,1,organic,180.0
24,2,display,180.0
25,0,paid_social,158.17
26,0,referral,160.0
26,1,email,160.0
27,0,referral,140.0
27,1,display,140.0
28,0,paid_social,110.0
29,0,paid_social,150.0
29,1,email,150.0
30,0,paid_social,143.47
31,0,paid_social,160.0
31,1,organic,160.0
32,0,email,140.0
32,1,organic,140.0
33,0,organic,140.81
34,0,display,201.78
34,1,referral,201.78
35,0,organic,190.0
35,1,organic,190.0
35,2,email,190.0
36,0,paid_social,110.0
37,0,paid_social,150.0
37,1,email,150.0
38,0,organic,170.0
38,1,referral,170.0
39,0,paid_social,220.0
39,1,referral,220.0
39,2,email,220.0
40,0,paid_social,180.0
40,1,referral,180.0
41,0,email,131.04
42,0,referral,180.0
42,1,paid_social,180.0
43,0,organic,100.0
44,0,organic,102.67
45,0,display,154.71
46,0,paid_social,110.0
47,0,display,266.72
47,1,paid_social,266.72
47,2,paid_social,266.72
48,0,referral,140.0
48,1,display,140.0
49,0,display,120.0
49,1,organic,120.0
50,0,display,140.0
50,1,referral,140.0
51,0,paid_social,200.0
51,1,display,200.0
51,2,referral,200.0
52,0,paid_social,110.0
53,0,organic,243.39
54,0,email,200.0
54,1,organic,200.0
54,2,paid_social,200.0
55,0,organic,100.0
56,0,paid_social,167.82
56,1,organic,167.82
57,0,display,174.19
58,0,email,118.06
59,0,referral,250.0
59,1,paid_social,250.0
59,2,paid_social,250.0
59,3,referral,250.0
60,0,paid_social,250.0
60,1,paid_social,250.0
60,2,display,250.0
60,3,paid_social,250.0
61,0,email,220.0
61,1,paid_social,220.0
61,2,referral,220.0
62,0,organic,210.0
62,1,email,210.0
62,2,referral,210.0
63,0,organic,200.0
63,1,organic,200.0
63,2,organic,200.0
64,0,paid_social,239.12
65,0,paid_social,110.0
66,0,email,210.53
66,1,display,210.53
67,0,display,102.48
68,0,email,160.0
68,1,referral,160.0
69,0,paid_social,124.43
70,0,display,130.0
70,1,paid_social,130.0
71,0,email,160.0
71,1,referral,160.0
72,0,paid_social,210.0
72,1,email,210.0
72,2,paid_social,210.0
73,0,email,145.9
74,0,display,179.22
74,1,organic,179.22
75,0,organic,120.0
75,1,display,120.0
76,0,referral,250.0
76,1,paid_social,250.0
76,2,referral,250.0
76,3,referral,250.0
77,0,email,131.47
78,0,paid_social,250.0
78,1,paid_social,250.0
78,2,referral,250.0
78,3,paid_social,250.0
79,0,display,136.15
79,1,email,136.15
