campaign_id,channel,start_date,end_date,spend_eur,impressions,clicks,installs,kyc_completions,first_tx_count
88,app_store,2024-07-01 21:50:29.858420316,2024-07-14 21:50:29.858420316,5287.84,59441,2986,445,160,84
156,email,2024-07-03 12:44:47.192594798,2024-07-24 12:44:47.192594798,3823.53,74475,5331,610,258,128
92,paid_social,2024-07-03 14:21:31.678477076,2024-07-16 14:21:31.678477076,30786.86,81615,2849,276,58,29
157,app_store,2024-07-03 23:58:56.378614877,2024-07-10 23:58:56.378614877,8842.95,27015,1657,229,95,45
232,paid_social,2024-07-07 14:30:21.968587612,2024-08-03 14:30:21.968587612,12430.03,77751,2991,246,45,21
61,email,2024-07-09 01:06:31.530607384,2024-08-05 01:06:31.530607384,901.97,24415,2254,178,66,25
16,email,2024-07-13 11:54:59.442417290,2024-07-23 11:54:59.442417290,1332.31,72265,5417,537,186,117
143,email,2024-07-15 13:33:02.754879773,2024-08-06 13:33:02.754879773,1729.3,30045,2979,255,84,48
207,organic_search,2024-07-15 21:29:57.911136858,2024-07-28 21:29:57.911136858,0.0,30431,2741,592,305,186
115,organic_search,2024-07-17 11:16:40.151521286,2024-08-15 11:16:40.151521286,0.0,100667,10067,1797,861,505
164,app_store,2024-07-20 16:08:31.735567625,2024-07-31 16:08:31.735567625,5293.52,239403,8669,1460,514,351
73,organic_search,2024-07-23 10:32:03.918040028,2024-08-14 10:32:03.918040028,0.0,46436,3691,953,419,323
86,organic_search,2024-07-23 12:16:20.046523247,2024-07-31 12:16:20.046523247,0.0,33584,2614,527,210,92
243,paid_social,2024-07-24 04:56:09.928719473,2024-07-31 04:56:09.928719473,11492.55,77684,1836,132,42,11
3,app_store,2024-07-25 00:06:25.659481080,2024-08-16 00:06:25.659481080,9436.02,77535,4446,853,305,154
117,app_store,2024-07-28 11:00:11.458418662,2024-08-08 11:00:11.458418662,13841.31,44782,2403,414,194,88
135,app_store,2024-07-29 04:15:52.994637846,2024-08-28 04:15:52.994637846,9848.37,30995,1817,326,155,80
32,referral,2024-07-31 08:33:37.516782052,2024-08-11 08:33:37.516782052,1201.22,79453,10568,2968,1454,1020
189,organic_search,2024-08-01 18:05:49.816915745,2024-08-14 18:05:49.816915745,0.0,42233,3181,763,380,185
146,paid_social,2024-08-02 14:22:08.312143033,2024-08-17 14:22:08.312143033,32859.6,28658,952,63,11,3
137,app_store,2024-08-07 00:00:10.985129573,2024-09-02 00:00:10.985129573,9578.95,59985,2884,503,145,87
217,email,2024-08-09 08:58:32.204333832,2024-08-27 08:58:32.204333832,2077.83,13879,1739,173,59,37
60,organic_search,2024-08-09 11:43:18.848292075,2024-09-05 11:43:18.848292075,0.0,74601,5182,933,337,179
154,app_store,2024-08-21 20:42:08.035257456,2024-09-04 20:42:08.035257456,11931.43,63477,2630,409,188,88
41,email,2024-08-22 02:05:13.366921220,2024-09-21 02:05:13.366921220,2265.85,119753,12495,1223,433,250
109,email,2024-08-23 03:27:11.492116073,2024-09-20 03:27:11.492116073,1011.62,36321,3724,297,88,35
85,email,2024-08-25 20:06:43.045203219,2024-09-12 20:06:43.045203219,1664.64,46403,4675,448,113,72
15,organic_search,2024-08-26 15:57:20.993353197,2024-09-16 15:57:20.993353197,0.0,29341,1883,472,222,120
48,paid_social,2024-08-28 07:37:46.859420737,2024-09-19 07:37:46.859420737,11508.66,65052,1471,145,26,8
187,paid_social,2024-08-29 13:03:29.599578990,2024-09-06 13:03:29.599578990,10219.31,93857,3403,353,107,52
75,referral,2024-08-29 21:16:50.493859201,2024-09-07 21:16:50.493859201,1648.02,25482,3560,1302,818,675
