user_id,cohort,month_index,segment,treated,post,age_group,device,pre_activity,activated,retained_m1,retained_m3
1,2023-01,0,in_app_kyc,1,0,45+,web,7.245,1,0,1
2,2023-01,0,in_app_kyc,1,0,25-34,ios,10.627,0,0,0
3,2023-01,0,in_app_kyc,1,0,45+,web,1.044,0,0,0
4,2023-01,0,in_app_kyc,1,0,35-44,web,12.129,1,1,1
5,2023-01,0,in_app_kyc,1,0,18-24,web,12.706,1,1,0
6,2023-01,0,in_app_kyc,1,0,45+,web,8.39,0,0,0
7,2023-01,0,in_app_kyc,1,0,45+,web,9.976,0,1,0
8,2023-01,0,in_app_kyc,1,0,45+,web,9.976,0,0,0
9,2023-01,0,in_app_kyc,1,0,18-24,android,6.372,1,0,0
10,2023-01,0,in_app_kyc,1,0,25-34,ios,9.941,0,1,0
11,2023-01,0,in_app_kyc,1,0,25-34,android,5.874,0,1,0
12,2023-01,0,in_app_kyc,1,0,45+,android,6.474,1,1,0
13,2023-01,0,in_app_kyc,1,0,35-44,ios,11.681,1,1,0
14,2023-01,0,in_app_kyc,1,0,45+,web,11.224,1,0,0
15,2023-01,0,in_app_kyc,1,0,25-34,ios,6.181,0,0,0
16,2023-01,0,in_app_kyc,1,0,25-34,web,6.099,1,1,1
17,2023-01,0,in_app_kyc,1,0,35-44,ios,6.363,0,0,1
18,2023-01,0,in_app_kyc,1,0,18-24,ios,10.498,0,1,0
19,2023-01,0,in_app_kyc,1,0,45+,ios,5.3,0,1,0
20,2023-01,0,in_app_kyc,1,0,35-44,ios,9.37,0,0,0
21,2023-01,0,in_app_kyc,1,0,35-44,ios,10.541,0,0,0
22,2023-01,0,in_app_kyc,1,0,25-34,ios,8.035,1,0,1
23,2023-01,0,in_app_kyc,1,0,45+,ios,11.33,0,0,0
24,2023-01,0,in_app_kyc,1,0,45+,ios,7.387,1,0,0
25,2023-01,0,in_app_kyc,1,0,45+,android,7.658,1,1,0
26,2023-01,0,in_app_kyc,1,0,25-34,android,5.368,0,0,1
27,2023-01,0,in_app_kyc,1,0,25-34,android,11.352,1,0,0
28,2023-01,0,in_app_kyc,1,0,18-24,android,6.0,1,1,1
29,2023-01,0,in_app_kyc,1,0,18-24,ios,9.349,0,0,0
30,2023-01,0,in_app_kyc,1,0,35-44,ios,8.086,1,1,0
31,2023-01,0,in_app_kyc,1,0,35-44,ios,5.142,1,0,0
32,2023-01,0,in_app_kyc,1,0,45+,web,6.473,0,0,0
33,2023-01,0,in_app_kyc,1,0,25-34,web,12.449,0,0,0
34,2023-01,0,in_app_kyc,1,0,25-34,web,8.905,0,1,1
35,2023-01,0,in_app_kyc,1,0,25-34,android,5.273,1,0,0
36,2023-01,0,in_app_kyc,1,0,25-34,android,9.216,0,0,1
37,2023-01,0,in_app_kyc,1,0,18-24,android,7.862,0,1,0
38,2023-01,0,in_app_kyc,1,0,35-44,web,18.662,1,1,0
39,2023-01,0,in_app_kyc,1,0,25-34,web,9.155,1,0,0
40,2023-01,0,in_app_kyc,1,0,35-44,web,7.158,1,1,0
41,2023-01,0,in_app_kyc,1,0,25-34,web,12.56,0,0,0
42,2023-01,0,in_app_kyc,1,0,45+,android,2.777,1,0,0
43,2023-01,0,in_app_kyc,1,0,35-44,web,8.583,0,1,1
