customer_id,usage_frequency,avg_transaction_value,days_since_last_activity,support_tickets,device_error_rate,age,is_premium,customer_tenure_months,channel,churned
0,0.244,29.09,43,0,0.1637,32,0,25,google_play,0
1,0.2841,18.44,26,0,0.1765,54,0,20,google_play,0
2,0.3903,21.45,25,1,0.1019,41,0,13,google_play,0
3,0.2986,14.47,5,0,0.1713,23,0,36,google_play,0
4,0.4184,22.81,10,2,0.2659,58,0,8,app_store,1
5,0.4996,44.48,15,0,0.0252,30,1,35,referral,0
6,0.304,134.25,78,0,0.0163,28,0,46,website,0
7,0.1509,10.56,42,0,0.5977,61,1,19,referral,0
8,0.3294,59.55,87,2,0.4379,60,1,13,referral,1
9,0.5237,32.07,4,1,0.2656,19,0,5,referral,0
10,0.1613,8.0,89,0,0.2908,51,0,43,referral,1
11,0.3275,22.91,59,0,0.6724,33,0,16,website,1
12,0.4876,21.6,44,0,0.2455,43,1,5,website,0
13,0.2162,24.5,45,1,0.0483,45,0,20,google_play,0
14,0.2918,51.08,86,0,0.0768,42,0,3,website,0
15,0.2282,97.75,18,2,0.1324,58,1,46,app_store,0
16,0.1563,60.74,29,0,0.1861,48,0,6,app_store,1
17,0.1456,28.47,71,2,0.2872,49,0,3,website,1
18,0.3281,30.78,1,1,0.5705,23,0,45,google_play,0
19,0.3133,105.14,58,2,0.5773,61,0,31,app_store,1
20,0.3289,11.69,55,1,0.1396,66,0,36,google_play,0
21,0.1636,58.53,49,1,1.0,45,0,17,app_store,1
22,0.4131,10.99,39,0,0.0815,43,0,36,app_store,0
23,0.1129,8.43,65,0,0.0576,32,1,17,website,1
24,0.3648,38.16,83,0,0.3346,61,0,29,google_play,1
25,0.2989,7.69,53,0,0.2541,56,0,6,app_store,1
26,0.0962,18.63,73,2,0.1976,59,0,4,google_play,1
27,0.396,64.2,0,1,0.2603,50,0,10,google_play,0
28,0.2535,12.94,13,0,0.167,55,0,19,app_store,0
29,0.6282,86.29,49,2,0.1291,36,0,2,google_play,0
30,0.2266,5.05,72,0,0.1804,38,0,7,website,1
31,0.5606,50.96,22,1,0.0974,44,0,21,google_play,0
32,0.1641,9.31,65,0,0.2049,46,1,4,google_play,1
33,0.0689,21.41,69,0,0.3519,43,1,16,google_play,1
34,0.5079,28.53,55,0,0.0968,29,1,43,google_play,0
35,0.0463,20.13,59,0,0.1176,58,0,17,website,1
36,0.1189,20.49,18,0,0.1606,32,0,44,app_store,1
37,0.4358,8.89,53,1,0.1372,52,0,17,app_store,1
38,0.2439,66.05,14,1,0.0716,42,1,24,website,0
39,0.2769,10.37,48,0,0.3769,28,0,46,app_store,0
40,0.4798,10.37,81,1,0.1085,18,0,28,website,0
41,0.4232,22.92,23,1,0.1898,20,0,15,website,0
42,0.2031,15.06,74,0,0.2454,19,0,40,referral,0
43,0.0529,44.12,58,0,0.138,63,1,11,google_play,1
44,0.1579,16.89,52,1,0.1895,56,0,25,google_play,0
45,0.1739,24.51,71,1,0.3595,57,0,19,referral,1
46,0.4552,26.58,55,0,0.1789,64,1,39,app_store,0
47,0.5641,48.5,35,0,0.2388,58,0,33,google_play,0
48,0.0892,16.96,14,3,0.209,42,0,29,app_store,1
49,0.234,7.61,31,2,0.3826,34,1,3,website,1
50,0.545,13.92,58,0,0.1175,35,0,33,google_play,0
51,0.2093,54.39,84,1,0.0603,38,0,30,app_store,0
52,0.3996,31.3,84,0,0.2608,57,0,31,app_store,0
53,0.3734,18.93,72,0,0.5356,27,1,46,website,0
54,0.3619,25.6,67,3,0.1599,36,0,46,app_store,1
55,0.216,20.37,5,0,0.0874,47,0,44,google_play,0
56,0.1251,42.58,52,0,0.3638,47,0,18,app_store,1
57,0.2673,31.07,24,0,0.0323,56,1,45,app_store,0
58,0.3926,20.18,38,0,0.1608,55,0,33,google_play,0
59,0.0513,46.64,76,0,0.1988,65,0,4,google_play,0
60,0.6817,55.91,19,1,0.3464,61,0,41,referral,0
61,0.0242,12.89,67,0,0.0169,36,0,25,app_store,1
62,0.0415,13.06,2,0,0.2657,67,0,18,referral,1
63,0.1152,131.72,17,1,0.2989,68,1,39,referral,0
64,0.1946,38.03,40,0,0.2067,60,1,6,website,0
65,0.2645,78.93,44,1,0.0831,52,0,37,app_store,0
66,0.2562,45.82,29,1,0.2002,59,0,14,google_play,0
67,0.2817,33.84,16,1,0.6604,26,1,10,app_store,0
68,0.1676,5.5,44,0,0.473,41,0,27,google_play,0
69,0.5912,10.44,53,0,0.3605,66,0,1,referral,1
70,0.2075,38.68,47,0,0.3252,22,0,32,app_store,1
71,0.2535,13.02,7,0,0.2144,28,0,43,app_store,0
72,0.1031,22.11,55,0,0.1321,27,0,26,google_play,1
73,0.2412,46.4,23,0,0.0991,30,0,47,website,0
74,0.512,26.98,56,0,0.2577,59,0,38,app_store,1
75,0.5349,32.43,7,1,0.1093,66,0,24,referral,0
76,0.4259,64.82,5,0,0.222,64,1,9,google_play,0
77,0.2853,69.47,83,0,0.2605,57,0,12,app_store,0
78,0.2479,23.58,14,1,0.2951,57,0,34,google_play,1
79,0.4317,59.85,16,0,0.2035,25,1,10,google_play,0
80,0.1971,12.52,24,0,0.0629,49,0,28,app_store,0
81,0.3752,28.75,46,0,0.0996,65,0,35,website,0
82,0.3061,36.46,31,1,0.278,66,0,5,website,0
83,0.3032,22.79,16,1,0.108,46,0,11,google_play,1
84,0.4845,21.0,51,0,0.2018,28,0,7,website,1
85,0.091,11.21,11,1,0.2428,67,0,21,website,1
86,0.3253,23.93,55,0,0.0336,22,0,17,referral,0
