customer_id,segment,frequency,avg_tx_value,total_spend,lifetime_months
0,Dormant,0,0.0,0.0,2.2
1,Casual,1,28.6,28.6,1.0
2,Dormant,1,6.64,6.64,1.0
3,Dormant,0,0.0,0.0,1.6
4,Power,49,108.56,5319.52,20.4
5,Dormant,0,0.0,0.0,1.0
6,Dormant,1,20.43,20.43,1.0
7,Dormant,0,0.0,0.0,2.2
8,Growth,0,0.0,0.0,1.0
9,Casual,3,29.11,87.33,2.5
10,Casual,4,52.63,210.53,3.2
11,Dormant,0,0.0,0.0,1.6
12,Casual,1,15.49,15.49,3.5
13,Dormant,1,11.29,11.29,3.6
14,Casual,1,23.7,23.7,1.8
15,Growth,1,55.01,55.01,1.8
16,Casual,2,24.67,49.34,2.7
17,Power,4,146.65,586.62,1.6
18,Dormant,0,0.0,0.0,1.0
19,Casual,1,17.99,17.99,1.0
20,Dormant,0,0.0,0.0,1.4
21,Growth,5,50.11,250.54,1.7
22,Dormant,0,0.0,0.0,1.0
23,Dormant,0,0.0,0.0,1.0
24,Dormant,1,11.97,11.97,1.0
25,Growth,0,0.0,0.0,1.2
26,Casual,1,11.93,11.93,1.0
27,Power,3,231.5,694.51,1.0
28,Growth,3,70.9,212.7,1.5
29,Dormant,1,15.64,15.64,1.0
30,Dormant,0,0.0,0.0,1.0
31,Dormant,0,0.0,0.0,2.5
32,Growth,2,26.04,52.08,3.8
33,Casual,0,0.0,0.0,2.9
34,Casual,0,0.0,0.0,1.0
35,Growth,0,0.0,0.0,1.0
36,Growth,1,42.75,42.75,1.0
37,Casual,6,24.6,147.59,6.5
38,Growth,1,15.74,15.74,1.0
39,Casual,1,71.42,71.42,1.9
40,Casual,0,0.0,0.0,1.4
41,Dormant,0,0.0,0.0,1.0
42,Dormant,1,15.02,15.02,1.2
43,Growth,5,80.44,402.19,4.1
44,Dormant,1,12.16,12.16,1.5
45,Dormant,0,0.0,0.0,3.9
46,Casual,0,0.0,0.0,2.7
47,Growth,1,55.06,55.06,1.0
48,Dormant,0,0.0,0.0,1.0
49,Growth,1,70.73,70.73,1.0
50,Growth,4,37.16,148.66,3.6
51,Power,5,85.8,429.01,1.4
52,Dormant,0,0.0,0.0,1.0
53,Casual,3,41.65,124.95,2.1
54,Dormant,0,0.0,0.0,1.0
55,Dormant,1,7.58,7.58,1.0
56,Casual,0,0.0,0.0,1.0
57,Casual,4,39.9,159.6,6.3
58,Growth,2,73.99,147.97,1.9
59,Power,10,109.45,1094.47,3.1
60,Casual,1,50.69,50.69,1.1
61,Casual,0,0.0,0.0,1.0
62,Casual,0,0.0,0.0,1.0
