user_id,jtbd_segment,dormancy_bucket,group,balance_eur,prior_logins,reactivated_60d,retained_m3,arpu_eur
1,digital_newcomers,30-60d,control,312.24,3.4,0,0,3.4
2,digital_newcomers,30-60d,control,519.28,1.1,0,0,3.4
3,digital_newcomers,30-60d,control,271.04,5.2,0,0,3.4
4,digital_newcomers,30-60d,control,123.66,8.2,0,0,3.4
5,digital_newcomers,30-60d,control,257.97,8.8,0,0,3.4
6,digital_newcomers,30-60d,control,123.05,6.9,1,0,3.4
7,digital_newcomers,30-60d,control,235.11,5.5,0,0,3.4
8,digital_newcomers,30-60d,control,650.69,5.6,0,0,3.4
9,digital_newcomers,30-60d,control,184.62,7.3,1,1,3.4
10,digital_newcomers,30-60d,control,345.38,11.4,0,0,3.4
11,digital_newcomers,30-60d,control,162.42,4.0,0,0,3.4
12,digital_newcomers,30-60d,control,603.76,5.7,0,0,3.4
13,digital_newcomers,30-60d,control,126.52,7.6,0,0,3.4
14,digital_newcomers,30-60d,control,377.86,4.3,0,0,3.4
15,digital_newcomers,30-60d,control,268.63,6.5,0,0,3.4
16,digital_newcomers,30-60d,control,292.62,7.7,1,0,3.4
17,digital_newcomers,30-60d,control,405.46,2.4,0,0,3.4
18,digital_newcomers,30-60d,control,167.96,4.4,0,0,3.4
19,digital_newcomers,30-60d,control,809.12,3.8,0,0,3.4
20,digital_newcomers,30-60d,control,63.67,5.2,0,0,3.4
21,digital_newcomers,30-60d,control,391.11,7.8,0,0,3.4
22,digital_newcomers,30-60d,control,185.12,4.8,0,0,3.4
23,digital_newcomers,30-60d,control,209.97,2.8,0,0,3.4
24,digital_newcomers,30-60d,control,117.27,7.2,0,0,3.4
25,digital_newcomers,30-60d,control,425.13,4.9,0,0,3.4
26,digital_newcomers,30-60d,control,403.62,5.2,0,0,3.4
27,digital_newcomers,30-60d,control,144.09,5.1,0,0,3.4
28,digital_newcomers,30-60d,control,94.0,7.2,0,0,3.4
29,digital_newcomers,30-60d,control,247.15,7.2,0,0,3.4
30,digital_newcomers,30-60d,control,416.68,5.8,0,0,3.4
31,digital_newcomers,30-60d,control,229.57,1.8,0,0,3.4
32,digital_newcomers,30-60d,control,84.93,3.5,0,0,3.4
33,digital_newcomers,30-60d,control,118.58,5.1,0,0,3.4
34,digital_newcomers,30-60d,control,184.01,7.8,0,0,3.4
35,digital_newcomers,30-60d,control,207.61,3.6,0,0,3.4
36,digital_newcomers,30-60d,control,479.26,1.7,0,0,3.4
37,digital_newcomers,30-60d,control,295.95,4.5,0,0,3.4
38,digital_newcomers,30-60d,control,259.23,4.7,0,0,3.4
39,digital_newcomers,30-60d,control,249.01,10.0,0,0,3.4
40,digital_newcomers,30-60d,control,107.9,6.4,1,1,3.4
41,digital_newcomers,30-60d,control,477.27,6.9,0,0,3.4
42,digital_newcomers,30-60d,control,94.54,4.4,0,0,3.4
43,digital_newcomers,30-60d,control,179.14,2.6,0,0,3.4
44,digital_newcomers,30-60d,control,204.84,2.3,0,0,3.4
45,digital_newcomers,30-60d,control,314.45,8.1,0,0,3.4
46,digital_newcomers,30-60d,control,2517.67,7.0,0,0,3.4
47,digital_newcomers,30-60d,control,44.45,6.7,0,0,3.4
48,digital_newcomers,30-60d,control,175.51,4.5,1,0,3.4
49,digital_newcomers,30-60d,control,277.45,5.6,0,0,3.4
50,digital_newcomers,30-60d,control,64.09,4.8,0,0,3.4
51,digital_newcomers,30-60d,control,306.3,10.4,0,0,3.4
52,digital_newcomers,30-60d,control,537.1,4.8,0,0,3.4
53,digital_newcomers,30-60d,control,113.06,4.2,0,0,3.4
54,digital_newcomers,30-60d,control,126.84,8.1,0,0,3.4
55,digital_newcomers,30-60d,control,515.56,7.0,0,0,3.4
56,digital_newcomers,30-60d,control,236.84,4.4,0,0,3.4
57,digital_newcomers,30-60d,control,170.04,2.9,0,0,3.4
58,digital_newcomers,30-60d,control,280.92,9.9,0,0,3.4
59,digital_newcomers,30-60d,control,222.54,6.7,0,0,3.4
60,digital_newcomers,30-60d,control,291.64,5.0,0,0,3.4
61,digital_newcomers,30-60d,control,344.81,9.8,0,0,3.4
62,digital_newcomers,30-60d,control,91.87,2.6,0,0,3.4
63,digital_newcomers,30-60d,control,971.59,5.6,0,0,3.4
64,digital_newcomers,30-60d,control,787.73,3.2,0,0,3.4
65,digital_newcomers,30-60d,control,409.39,5.0,0,0,3.4
66,digital_newcomers,30-60d,control,214.7,6.8,0,0,3.4
67,digital_newcomers,30-60d,control,263.08,7.6,0,0,3.4
68,digital_newcomers,30-60d,control,235.34,3.9,0,0,3.4
69,digital_newcomers,30-60d,control,121.2,5.2,0,0,3.4
70,digital_newcomers,30-60d,control,84.68,6.1,0,0,3.4
71,digital_newcomers,30-60d,control,361.7,4.8,0,0,3.4
72,digital_newcomers,30-60d,control,545.77,7.3,0,0,3.4
73,digital_newcomers,30-60d,control,216.24,4.3,1,1,3.4
74,digital_newcomers,30-60d,control,281.82,3.3,0,0,3.4
75,digital_newcomers,30-60d,control,293.71,12.3,0,0,3.4
76,digital_newcomers,30-60d,control,123.64,5.3,0,0,3.4
77,digital_newcomers,30-60d,control,152.54,6.8,0,0,3.4
78,digital_newcomers,30-60d,control,136.56,4.4,0,0,3.4
79,digital_newcomers,30-60d,control,214.83,3.3,0,0,3.4
80,digital_newcomers,30-60d,control,1434.88,4.7,0,0,3.4
81,digital_newcomers,30-60d,control,601.3,5.8,0,0,3.4
82,digital_newcomers,30-60d,control,75.67,11.3,0,0,3.4
83,digital_newcomers,30-60d,control,101.76,10.6,0,0,3.4
84,digital_newcomers,30-60d,control,95.85,5.1,0,0,3.4
85,digital_newcomers,30-60d,control,975.51,3.5,0,0,3.4
86,digital_newcomers,30-60d,control,455.72,7.1,0,0,3.4
