event_id,user_id,event_date,feature,session_id,device,platform
45000,3890,2025-01-01 00:09:11.294695624,transfer,16329,android,web
38547,3320,2025-01-01 00:11:53.896526453,savings,13980,android,app
29928,2605,2025-01-01 00:13:31.431162138,savings,10859,ios,app
6256,547,2025-01-01 00:14:23.758032661,transfer,2273,android,app
45458,3939,2025-01-01 00:15:55.959668746,transfer,16499,ios,app
35481,3098,2025-01-01 00:22:19.465790756,rewards,12886,android,app
28310,2467,2025-01-01 00:23:37.205422327,card_control,10272,ios,app
31440,2763,2025-01-01 00:25:24.365534856,transfer,11422,android,app
73175,6261,2025-01-01 00:38:40.724821631,invest,26507,ios,app
50537,4360,2025-01-01 00:50:04.110754473,invest,18322,ios,app
46178,3985,2025-01-01 00:59:40.969335494,rewards,16751,android,app
37889,3278,2025-01-01 01:10:21.344861326,budget,13747,android,app
3991,347,2025-01-01 01:12:42.940190396,budget,1448,ios,app
5865,512,2025-01-01 01:14:44.588696902,card_control,2128,android,app
18883,1652,2025-01-01 01:15:46.396044005,rewards,6850,ios,app
28983,2525,2025-01-01 01:23:00.127888019,budget,10516,ios,app
3481,291,2025-01-01 01:29:43.404920111,savings,1258,ios,app
41109,3552,2025-01-01 01:34:16.006045368,rewards,14920,android,app
76266,6551,2025-01-01 01:46:33.168936627,budget,27642,android,app
17050,1477,2025-01-01 01:56:24.783955416,transfer,6180,ios,app
89259,7687,2025-01-01 02:07:01.119034038,atm_locator,32350,android,web
60859,5222,2025-01-01 02:08:05.370128367,card_control,22055,android,web
36155,3153,2025-01-01 02:16:31.232163950,card_control,13131,android,app
42533,3679,2025-01-01 02:16:58.181207364,invest,15435,ios,app
40089,3443,2025-01-01 02:18:29.336477328,atm_locator,14538,ios,app
45309,3928,2025-01-01 02:18:53.738649794,savings,16445,android,app
11549,1000,2025-01-01 02:25:58.037329237,savings,4195,ios,app
77334,6635,2025-01-01 02:28:49.735743018,card_control,28024,android,app
71832,6141,2025-01-01 02:32:38.037474542,invest,26018,android,app
37010,3209,2025-01-01 02:36:17.372207001,savings,13436,android,app
35640,3111,2025-01-01 02:43:26.481586915,card_control,12944,ios,app
58693,5048,2025-01-01 02:51:03.521601532,kyc,21275,ios,app
43552,3766,2025-01-01 02:54:10.565261694,savings,15802,ios,app
37678,3259,2025-01-01 02:57:31.099253696,budget,13673,android,app
22362,1969,2025-01-01 03:12:26.457906646,card_control,8115,ios,app
77944,6689,2025-01-01 03:19:28.829523910,card_control,28243,android,app
14533,1260,2025-01-01 03:24:50.537260733,invest,5272,android,app
16782,1455,2025-01-01 03:32:41.887897327,transfer,6084,android,app
32898,2880,2025-01-01 03:34:31.964532939,rewards,11946,android,web
3243,273,2025-01-01 03:44:16.812953805,kyc,1173,ios,app
27161,2366,2025-01-01 03:50:46.752503268,invest,9856,android,web
66769,5722,2025-01-01 04:43:19.514277347,card_control,24196,ios,app
5877,513,2025-01-01 04:49:36.207289928,rewards,2132,android,app
3154,270,2025-01-01 04:52:24.220151670,invest,1143,ios,app
24587,2154,2025-01-01 04:56:10.929550133,rewards,8920,ios,web
54679,4690,2025-01-01 04:59:49.646605597,transfer,19817,ios,web
62063,5320,2025-01-01 05:08:27.076846528,rewards,22489,ios,app
62400,5345,2025-01-01 05:08:32.219740268,rewards,22611,android,app
4939,428,2025-01-01 05:10:03.009883321,budget,1792,android,app
88515,7616,2025-01-01 05:12:01.021566283,atm_locator,32077,android,app
43276,3748,2025-01-01 05:18:13.535160909,transfer,15704,android,app
32301,2837,2025-01-01 05:26:28.086501773,transfer,11733,android,app
68373,5877,2025-01-01 05:28:03.315679360,card_control,24776,ios,web
76809,6601,2025-01-01 05:28:26.700223909,transfer,27840,android,app
91899,7917,2025-01-01 05:34:42.069626022,transfer,33306,ios,app
9721,831,2025-01-01 05:37:29.508899471,transfer,3527,ios,app
73159,6259,2025-01-01 05:37:46.634740625,transfer,26501,android,web
74590,6402,2025-01-01 05:43:27.605251695,invest,27030,ios,app
71285,6101,2025-01-01 05:45:28.416442538,transfer,25820,ios,app
36187,3154,2025-01-01 06:02:42.446079899,transfer,13142,ios,app
51906,4464,2025-01-01 06:14:22.132641163,transfer,18813,ios,app
62765,5386,2025-01-01 06:35:18.777291613,transfer,22746,ios,app
90622,7810,2025-01-01 06:52:08.650570114,budget,32842,ios,app
66629,5714,2025-01-01 06:52:32.774866106,savings,24147,ios,web
42613,3685,2025-01-01 06:54:51.366520474,rewards,15463,android,app
43060,3727,2025-01-01 06:55:06.706930123,transfer,15624,android,web
84796,7293,2025-01-01 07:03:14.287195264,card_control,30729,android,app
8287,727,2025-01-01 07:07:22.446618862,atm_locator,3011,ios,app
28272,2462,2025-01-01 07:13:30.777670894,card_control,10258,android,web
40319,3462,2025-01-01 07:36:08.850968904,budget,14622,android,app
30118,2628,2025-01-01 07:45:16.908093656,rewards,10931,ios,app
22618,1993,2025-01-01 07:57:35.471067333,rewards,8211,android,app
66740,5721,2025-01-01 07:58:35.661489032,invest,24186,android,app
70402,6047,2025-01-01 08:02:53.592371710,invest,25509,ios,app
73925,6329,2025-01-01 08:38:10.179238643,transfer,26779,android,app
55764,4779,2025-01-01 08:43:42.371596683,invest,20209,android,app
37754,3262,2025-01-01 08:46:53.737909222,card_control,13699,ios,app
17718,1541,2025-01-01 08:48:30.009955181,transfer,6420,android,app
41939,3637,2025-01-01 08:51:47.481946804,transfer,15224,android,app
54087,4644,2025-01-01 08:51:51.463670129,transfer,19604,ios,app
81303,6989,2025-01-01 08:53:45.162647851,budget,29465,android,app
57527,4952,2025-01-01 08:54:44.100187211,invest,20858,ios,app
85164,7329,2025-01-01 08:56:05.143989281,savings,30865,android,web
46685,4021,2025-01-01 08:59:35.585233298,transfer,16933,android,app
72183,6179,2025-01-01 09:01:20.268586606,transfer,26149,ios,app
30437,2667,2025-01-01 09:03:45.684522777,budget,11054,ios,app
82689,7101,2025-01-01 09:25:49.853591163,card_control,29963,android,web
47258,4083,2025-01-01 09:27:41.608748001,budget,17143,android,app
65441,5610,2025-01-01 09:28:00.596474492,savings,23719,ios,app
7,2,2025-01-01 09:32:25.300293432,kyc,3,android,app
22776,2008,2025-01-01 09:35:54.901247130,savings,8268,android,app
77044,6613,2025-01-01 09:37:28.154361927,rewards,27922,ios,app
73471,6277,2025-01-01 09:51:02.939957245,transfer,26610,ios,app
30521,2675,2025-01-01 09:56:30.500796076,budget,11084,ios,app
4320,374,2025-01-01 09:57:24.307037285,savings,1567,android,web
57448,4941,2025-01-01 10:02:50.902613891,savings,20829,android,app
50443,4351,2025-01-01 10:14:13.144750797,transfer,18288,ios,web
20429,1800,2025-01-01 10:19:48.400171150,transfer,7419,ios,app
34985,3051,2025-01-01 10:27:26.216817932,savings,12705,android,app
57106,4909,2025-01-01 10:39:42.244006377,budget,20704,android,app
46553,4013,2025-01-01 10:44:05.544934054,transfer,16886,ios,app
10938,943,2025-01-01 10:51:21.780947612,transfer,3974,ios,app
8025,711,2025-01-01 10:54:13.381846534,budget,2921,android,web
81856,7033,2025-01-01 10:57:13.175757259,budget,29663,ios,app
29452,2566,2025-01-01 10:57:31.577140906,card_control,10685,android,web
10100,871,2025-01-01 11:01:20.700629716,transfer,3668,android,app
43768,3790,2025-01-01 11:03:20.376144262,transfer,15884,ios,app
