user_id,channel,device,age_group,app_install,registration,kyc_start,kyc_complete,card_ordered,first_tx,install_date,first_tx_date
U000000,paid_social,ios,35-44,1,1,1,0,0,0,2024-07-22 16:05:54.472666585,
U000001,app_store,ios,18-24,1,1,1,1,0,0,2024-07-13 06:55:34.721448164,
U000002,referral,ios,25-34,1,0,0,0,0,0,2024-07-25 00:58:40.087849616,
U000003,referral,android,35-44,1,1,1,0,0,0,2024-07-20 12:37:52.735900414,
U000004,organic_search,ios,25-34,1,1,1,1,1,1,2024-07-03 15:17:13.840009799,2024-07-06 00:50:16.562517269
U000005,organic_search,android,35-44,1,1,1,0,0,0,2024-07-28 07:37:05.593079640,
U000006,organic_search,ios,45+,1,0,0,0,0,0,2024-07-22 07:29:09.167055061,
U000007,email,android,18-24,1,1,1,0,0,0,2024-07-23 00:14:06.767326006,
U000008,referral,android,35-44,1,1,1,1,1,0,2024-07-04 14:05:32.500168681,
U000009,referral,android,25-34,1,1,1,1,0,0,2024-07-13 14:39:33.660956955,
U000010,organic_search,android,25-34,1,1,0,0,0,0,2024-07-11 09:10:34.580223462,
U000011,app_store,android,18-24,1,0,0,0,0,0,2024-07-26 22:47:09.861022536,
U000012,email,android,18-24,1,0,0,0,0,0,2024-07-19 00:40:38.498499145,
U000013,organic_search,ios,25-34,1,1,0,0,0,0,2024-07-24 00:53:44.894824792,
U000014,organic_search,ios,25-34,1,1,1,1,1,0,2024-07-13 09:58:27.629803081,
U000015,organic_search,ios,45+,1,0,0,0,0,0,2024-07-07 08:42:15.915741732,
U000016,paid_social,ios,35-44,1,1,1,1,0,0,2024-07-16 12:40:51.516748707,
U000017,paid_social,ios,45+,1,1,1,0,0,0,2024-07-02 18:53:06.705967221,
U000018,paid_social,ios,25-34,1,0,0,0,0,0,2024-07-24 04:10:05.331284454,
U000019,organic_search,ios,25-34,1,1,0,0,0,0,2024-07-18 16:28:42.514356100,
U000020,referral,ios,25-34,1,0,0,0,0,0,2024-07-22 05:26:05.860814535,
U000021,organic_search,ios,25-34,1,1,0,0,0,0,2024-07-10 22:14:29.222099779,
U000022,organic_search,android,25-34,1,1,0,0,0,0,2024-07-28 04:18:32.660616150,
U000023,paid_social,ios,35-44,1,0,0,0,0,0,2024-07-26 00:10:38.616702661,
U000024,paid_social,android,25-34,1,0,0,0,0,0,2024-07-22 19:04:25.356120844,
U000025,email,ios,25-34,1,1,1,0,0,0,2024-07-06 10:47:49.962035479,
U000026,organic_search,android,18-24,1,1,1,1,1,1,2024-07-14 01:38:11.452216441,2024-07-15 07:46:09.333114225
U000027,paid_social,android,18-24,1,0,0,0,0,0,2024-07-02 05:26:10.070192464,
U000028,referral,android,25-34,1,1,0,0,0,0,2024-07-05 07:40:57.139209811,
U000029,organic_search,android,18-24,1,1,1,1,1,1,2024-07-20 03:00:32.027684147,2024-07-22 15:47:06.153941143
U000030,referral,ios,35-44,1,1,1,0,0,0,2024-07-21 20:28:48.607572190,
U000031,organic_search,android,18-24,1,1,0,0,0,0,2024-07-28 02:09:59.544704840,
U000032,organic_search,android,35-44,1,0,0,0,0,0,2024-07-10 02:57:16.706407816,
U000033,app_store,android,25-34,1,1,1,0,0,0,2024-07-11 08:56:56.120839555,
U000034,app_store,android,18-24,1,0,0,0,0,0,2024-07-14 03:32:29.418638434,
U000035,email,ios,35-44,1,1,1,1,1,1,2024-07-06 07:19:29.111896704,2024-07-09 00:59:50.071937506
U000036,paid_social,android,25-34,1,0,0,0,0,0,2024-07-04 15:18:26.105707573,
U000037,organic_search,ios,25-34,1,1,0,0,0,0,2024-07-14 07:40:25.357525777,
U000038,referral,android,45+,1,1,1,1,0,0,2024-07-07 08:28:59.097223898,
U000039,paid_social,ios,18-24,1,1,1,1,1,0,2024-07-19 18:06:54.015935929,
U000040,organic_search,android,25-34,1,1,1,0,0,0,2024-07-13 05:45:57.922135941,
U000041,paid_social,ios,35-44,1,1,0,0,0,0,2024-07-24 07:33:35.091903121,
U000042,organic_search,ios,35-44,1,1,1,1,1,1,2024-07-20 14:34:41.334763839,2024-07-20 23:53:57.214835076
U000043,app_store,android,25-34,1,1,1,0,0,0,2024-07-09 17:54:37.378831435,
U000044,organic_search,android,18-24,1,1,1,1,1,1,2024-07-24 07:16:42.911535270,2024-07-25 23:18:00.165622993
U000045,referral,android,45+,1,1,0,0,0,0,2024-07-23 12:48:05.933656263,
U000046,paid_social,ios,25-34,1,1,1,1,0,0,2024-07-11 20:23:07.694549797,
U000047,paid_social,ios,18-24,1,0,0,0,0,0,2024-07-09 01:45:23.349028046,
U000048,paid_social,android,25-34,1,1,0,0,0,0,2024-07-20 02:38:13.123216262,
U000049,organic_search,android,45+,1,0,0,0,0,0,2024-07-04 21:54:49.208347641,
U000050,app_store,android,18-24,1,1,0,0,0,0,2024-07-06 14:20:17.923427782,
U000051,email,ios,35-44,1,0,0,0,0,0,2024-07-01 04:56:50.802981633,
U000052,app_store,android,25-34,1,1,0,0,0,0,2024-07-23 00:48:47.454053173,
U000053,email,ios,25-34,1,0,0,0,0,0,2024-07-19 14:46:47.192267445,
U000054,referral,ios,35-44,1,1,1,1,1,1,2024-07-20 17:52:16.083972829,2024-07-21 13:22:15.485570972
U000055,app_store,ios,45+,1,0,0,0,0,0,2024-07-22 20:38:59.671848343,
U000056,organic_search,ios,25-34,1,0,0,0,0,0,2024-07-13 20:23:29.044182350,
U000057,organic_search,android,18-24,1,1,1,1,0,0,2024-07-16 22:11:38.701249242,
U000058,organic_search,ios,45+,1,1,1,1,1,0,2024-07-04 21:56:36.897870429,
U000059,paid_social,ios,35-44,1,0,0,0,0,0,2024-07-04 04:57:51.153898226,
U000060,paid_social,ios,25-34,1,1,1,1,0,0,2024-07-19 17:10:00.445163509,
U000061,organic_search,ios,25-34,1,1,0,0,0,0,2024-07-14 04:34:35.941901465,
U000062,email,android,35-44,1,1,1,0,0,0,2024-07-16 19:50:19.188799292,
U000063,paid_social,ios,35-44,1,1,0,0,0,0,2024-07-22 10:04:45.235860848,
U000064,organic_search,ios,45+,1,0,0,0,0,0,2024-07-18 18:31:50.559745429,
U000065,paid_social,android,25-34,1,1,0,0,0,0,2024-07-16 12:00:19.286071822,
U000066,organic_search,android,25-34,1,1,1,0,0,0,2024-07-16 15:47:13.963275304,
U000067,email,android,35-44,1,1,1,0,0,0,2024-07-09 12:15:16.077233069,
U000068,organic_search,ios,25-34,1,1,1,1,1,1,2024-07-01 20:42:34.505386758,2024-07-02 22:14:15.305929407
U000069,app_store,android,25-34,1,0,0,0,0,0,2024-07-13 05:28:26.708030932,
U000070,email,android,25-34,1,1,0,0,0,0,2024-07-07 00:12:03.240485006,
U000071,organic_search,android,18-24,1,1,1,1,1,0,2024-07-12 10:31:52.494898638,
U000072,organic_search,android,25-34,1,1,0,0,0,0,2024-07-24 21:29:12.714850348,
U000073,email,ios,35-44,1,0,0,0,0,0,2024-07-07 13:12:26.404205432,
U000074,referral,android,35-44,1,1,0,0,0,0,2024-07-02 15:10:45.992694187,
U000075,referral,ios,25-34,1,1,1,1,0,0,2024-07-08 21:05:23.911579615,
U000076,email,ios,18-24,1,1,0,0,0,0,2024-07-09 05:17:42.018789159,
U000077,organic_search,ios,25-34,1,1,0,0,0,0,2024-07-19 12:48:28.432427302,
U000078,paid_social,ios,35-44,1,1,1,0,0,0,2024-07-16 14:19:32.182944020,
U000079,organic_search,android,25-34,1,1,0,0,0,0,2024-07-22 22:46:46.547470236,
U000080,email,android,35-44,1,0,0,0,0,0,2024-07-19 14:25:07.316760014,
U000081,referral,android,25-34,1,0,0,0,0,0,2024-07-12 09:05:31.095195817,
U000082,paid_social,android,25-34,1,0,0,0,0,0,2024-07-23 19:01:18.114584070,
U000083,organic_search,ios,35-44,1,1,1,1,1,1,2024-07-05 16:12:20.887840717,2024-07-06 13:52:29.420632804
U000084,paid_social,ios,18-24,1,1,0,0,0,0,2024-07-01 15:15:45.047325434,
U000085,paid_social,android,25-34,1,1,1,1,1,0,2024-07-03 12:30:43.784788431,
U000086,referral,android,25-34,1,1,1,0,0,0,2024-07-21 05:25:31.740962934,
U000087,referral,ios,18-24,1,1,1,0,0,0,2024-07-13 22:22:53.395424155,
U000088,email,android,25-34,1,0,0,0,0,0,2024-07-05 12:22:28.687838088,
U000089,paid_social,ios,25-34,1,1,0,0,0,0,2024-07-15 00:42:07.519930056,
U000090,organic_search,ios,35-44,1,1,1,0,0,0,2024-07-05 06:21:13.438883696,
U000091,referral,ios,35-44,1,1,1,0,0,0,2024-07-20 11:55:38.251388060,
U000092,email,ios,35-44,1,1,1,0,0,0,2024-07-13 11:49:01.261868696,
U000093,referral,android,25-34,1,1,0,0,0,0,2024-07-11 16:02:46.550172609,
U000094,email,android,35-44,1,0,0,0,0,0,2024-07-09 10:36:58.046066542,
U000095,paid_social,ios,25-34,1,0,0,0,0,0,2024-07-18 15:32:59.649273214,
U000096,paid_social,android,25-34,1,0,0,0,0,0,2024-07-11 03:08:17.067450760,
U000097,paid_social,android,25-34,1,1,1,0,0,0,2024-07-03 10:54:02.684809512,
U000098,organic_search,ios,45+,1,0,0,0,0,0,2024-07-04 07:17:59.878409949,
U000099,organic_search,ios,18-24,1,1,1,0,0,0,2024-07-27 22:23:42.830078186,
U000100,organic_search,android,45+,1,1,1,1,0,0,2024-07-26 10:33:58.406959843,
U000101,referral,android,18-24,1,1,0,0,0,0,2024-07-20 14:12:11.498114966,
U000102,paid_social,android,25-34,1,1,0,0,0,0,2024-07-08 10:39:52.610762869,
U000103,paid_social,ios,25-34,1,1,0,0,0,0,2024-07-28 03:17:11.492079611,
U000104,app_store,android,35-44,1,0,0,0,0,0,2024-07-22 19:19:14.186874050,
