provider_id,provider_name,monthly_volume_eur,term_months,quoted_cost_pct,hedging_cost_pct,effective_cost_pct,settlement_days,credit_rating
1,Interbank Prime,1000000.0,1,1.0833,0.1163,1.1995,1,AAA
1,Interbank Prime,1000000.0,6,1.0881,0.0823,1.1704,1,AAA
1,Interbank Prime,1000000.0,12,1.0589,0.048,1.107,1,AAA
1,Interbank Prime,2500000.0,1,0.9897,0.1189,1.1086,1,AAA
1,Interbank Prime,2500000.0,6,0.9883,0.078,1.0663,1,AAA
1,Interbank Prime,2500000.0,12,0.9972,0.0512,1.0483,1,AAA
1,Interbank Prime,5000000.0,1,0.9198,0.1241,1.0439,1,AAA
1,Interbank Prime,5000000.0,6,0.9235,0.0779,1.0015,1,AAA
1,Interbank Prime,5000000.0,12,0.9226,0.0486,0.9712,1,AAA
1,Interbank Prime,10000000.0,1,0.8575,0.1198,0.9773,1,AAA
1,Interbank Prime,10000000.0,6,0.8484,0.0784,0.9268,1,AAA
1,Interbank Prime,10000000.0,12,0.8604,0.0498,0.9102,1,AAA
1,Interbank Prime,25000000.0,1,0.7552,0.1187,0.874,1,AAA
1,Interbank Prime,25000000.0,6,0.7625,0.0809,0.8434,1,AAA
1,Interbank Prime,25000000.0,12,0.7616,0.0506,0.8123,1,AAA
1,Interbank Prime,50000000.0,1,0.704,0.1185,0.8225,1,AAA
1,Interbank Prime,50000000.0,6,0.6857,0.078,0.7638,1,AAA
1,Interbank Prime,50000000.0,12,0.6935,0.0517,0.7452,1,AAA
1,Interbank Prime,100000000.0,1,0.6193,0.117,0.7363,1,AAA
1,Interbank Prime,100000000.0,6,0.6149,0.0816,0.6964,1,AAA
1,Interbank Prime,100000000.0,12,0.6246,0.0508,0.6754,1,AAA
1,Interbank Prime,250000000.0,1,0.525,0.1208,0.6458,1,AAA
1,Interbank Prime,250000000.0,6,0.5291,0.0805,0.6096,1,AAA
1,Interbank Prime,250000000.0,12,0.5331,0.0503,0.5834,1,AAA
1,Interbank Prime,500000000.0,1,0.4624,0.1202,0.5826,1,AAA
1,Interbank Prime,500000000.0,6,0.4606,0.0815,0.5421,1,AAA
1,Interbank Prime,500000000.0,12,0.4525,0.0495,0.5021,1,AAA
2,Fintech Liquidity,1000000.0,1,1.0948,0.1177,1.2125,2,AA
2,Fintech Liquidity,1000000.0,6,1.097,0.0836,1.1806,2,AA
2,Fintech Liquidity,1000000.0,12,1.0905,0.0515,1.1419,2,AA
2,Fintech Liquidity,2500000.0,1,1.0032,0.1188,1.122,2,AA
2,Fintech Liquidity,2500000.0,6,1.0221,0.0814,1.1035,2,AA
2,Fintech Liquidity,2500000.0,12,1.0277,0.0512,1.0789,2,AA
2,Fintech Liquidity,5000000.0,1,0.9569,0.1183,1.0752,2,AA
2,Fintech Liquidity,5000000.0,6,0.9684,0.0795,1.048,2,AA
2,Fintech Liquidity,5000000.0,12,0.948,0.0483,0.9963,2,AA
2,Fintech Liquidity,10000000.0,1,0.8917,0.1218,1.0135,2,AA
2,Fintech Liquidity,10000000.0,6,0.9013,0.0817,0.9829,2,AA
2,Fintech Liquidity,10000000.0,12,0.8962,0.0502,0.9464,2,AA
2,Fintech Liquidity,25000000.0,1,0.8255,0.1189,0.9444,2,AA
2,Fintech Liquidity,25000000.0,6,0.8242,0.0784,0.9026,2,AA
2,Fintech Liquidity,25000000.0,12,0.8174,0.0494,0.8669,2,AA
2,Fintech Liquidity,50000000.0,1,0.7511,0.1218,0.8729,2,AA
2,Fintech Liquidity,50000000.0,6,0.7566,0.08,0.8367,2,AA
2,Fintech Liquidity,50000000.0,12,0.7639,0.0507,0.8145,2,AA
2,Fintech Liquidity,100000000.0,1,0.7047,0.1196,0.8243,2,AA
2,Fintech Liquidity,100000000.0,6,0.697,0.0798,0.7768,2,AA
2,Fintech Liquidity,100000000.0,12,0.6882,0.0478,0.736,2,AA
2,Fintech Liquidity,250000000.0,1,0.6122,0.1164,0.7286,2,AA
2,Fintech Liquidity,250000000.0,6,0.6229,0.0778,0.7007,2,AA
2,Fintech Liquidity,250000000.0,12,0.6181,0.0519,0.67,2,AA
2,Fintech Liquidity,500000000.0,1,0.5582,0.1227,0.6809,2,AA
2,Fintech Liquidity,500000000.0,6,0.555,0.0795,0.6345,2,AA
2,Fintech Liquidity,500000000.0,12,0.5549,0.0495,0.6044,2,AA
3,Global FX Desk,1000000.0,1,1.1899,0.1138,1.3037,2,AA
3,Global FX Desk,1000000.0,6,1.1851,0.0806,1.2657,2,AA
3,Global FX Desk,1000000.0,12,1.173,0.0478,1.2208,2,AA
3,Global FX Desk,2500000.0,1,1.0972,0.1181,1.2153,2,AA
3,Global FX Desk,2500000.0,6,1.099,0.0801,1.179,2,AA
3,Global FX Desk,2500000.0,12,1.114,0.0496,1.1636,2,AA
3,Global FX Desk,5000000.0,1,1.0226,0.1206,1.1433,2,AA
3,Global FX Desk,5000000.0,6,1.0355,0.0833,1.1188,2,AA
3,Global FX Desk,5000000.0,12,1.0418,0.0505,1.0924,2,AA
3,Global FX Desk,10000000.0,1,0.9842,0.1157,1.0999,2,AA
3,Global FX Desk,10000000.0,6,0.9638,0.0778,1.0416,2,AA
3,Global FX Desk,10000000.0,12,0.9662,0.0479,1.0142,2,AA
3,Global FX Desk,25000000.0,1,0.8921,0.1192,1.0113,2,AA
3,Global FX Desk,25000000.0,6,0.8734,0.0776,0.951,2,AA
3,Global FX Desk,25000000.0,12,0.8892,0.0513,0.9405,2,AA
3,Global FX Desk,50000000.0,1,0.8397,0.1305,0.9701,2,AA
3,Global FX Desk,50000000.0,6,0.8266,0.0776,0.9043,2,AA
3,Global FX Desk,50000000.0,12,0.8057,0.0504,0.8561,2,AA
3,Global FX Desk,100000000.0,1,0.7538,0.1185,0.8723,2,AA
3,Global FX Desk,100000000.0,6,0.7553,0.0797,0.835,2,AA
3,Global FX Desk,100000000.0,12,0.7681,0.0502,0.8183,2,AA
3,Global FX Desk,250000000.0,1,0.6754,0.1163,0.7916,2,AA
3,Global FX Desk,250000000.0,6,0.6651,0.0788,0.7439,2,AA
3,Global FX Desk,250000000.0,12,0.6761,0.0527,0.7287,2,AA
3,Global FX Desk,500000000.0,1,0.614,0.1235,0.7376,2,AA
3,Global FX Desk,500000000.0,6,0.6102,0.0772,0.6873,2,AA
3,Global FX Desk,500000000.0,12,0.6073,0.0489,0.6562,2,AA
4,Prime Broker A,1000000.0,1,1.1745,0.117,1.2915,1,A
4,Prime Broker A,1000000.0,6,1.1596,0.0778,1.2375,1,A
4,Prime Broker A,1000000.0,12,1.1607,0.0506,1.2113,1,A
4,Prime Broker A,2500000.0,1,1.0628,0.1199,1.1826,1,A
4,Prime Broker A,2500000.0,6,1.0575,0.0811,1.1385,1,A
4,Prime Broker A,2500000.0,12,1.0596,0.0482,1.1078,1,A
4,Prime Broker A,5000000.0,1,0.9869,0.1206,1.1076,1,A
4,Prime Broker A,5000000.0,6,1.0155,0.0804,1.0959,1,A
4,Prime Broker A,5000000.0,12,0.9985,0.0504,1.049,1,A
4,Prime Broker A,10000000.0,1,0.9472,0.1208,1.068,1,A
4,Prime Broker A,10000000.0,6,0.9312,0.0827,1.0138,1,A
4,Prime Broker A,10000000.0,12,0.939,0.0523,0.9913,1,A
4,Prime Broker A,25000000.0,1,0.851,0.1156,0.9666,1,A
4,Prime Broker A,25000000.0,6,0.8378,0.084,0.9218,1,A
4,Prime Broker A,25000000.0,12,0.8641,0.0497,0.9138,1,A
4,Prime Broker A,50000000.0,1,0.7817,0.1253,0.907,1,A
4,Prime Broker A,50000000.0,6,0.776,0.0779,0.8539,1,A
