response_id,user_id,survey_date,nps_score,driver,segment,comment_length
5777,7089,2024-07-01 00:21:40.382972251,9,support,promoter,138
5269,6448,2024-07-01 01:52:31.523642581,7,fees,passive,25
5081,6215,2024-07-01 01:59:58.166646999,0,onboarding,detractor,42
2278,2793,2024-07-01 02:15:04.686528075,8,app_quality,passive,15
2934,3590,2024-07-01 05:42:09.044505558,4,support,detractor,146
5312,6498,2024-07-01 07:15:59.784601311,8,app_quality,passive,24
2155,2622,2024-07-01 08:14:54.694276146,6,trust,detractor,78
203,242,2024-07-01 08:31:39.127269411,8,fees,passive,12
1545,1854,2024-07-01 09:15:21.459291235,10,support,promoter,156
4720,5742,2024-07-01 13:26:08.835041967,4,onboarding,detractor,24
4250,5174,2024-07-01 13:43:18.142017407,4,onboarding,detractor,134
3352,4105,2024-07-01 14:59:23.407297889,10,product,promoter,87
147,184,2024-07-01 15:00:12.556340003,5,fees,detractor,20
614,744,2024-07-01 15:39:25.282094325,6,app_quality,detractor,37
6420,7821,2024-07-01 15:54:26.293768093,10,app_quality,promoter,146
2213,2699,2024-07-01 18:39:35.229017479,1,support,detractor,68
1716,2070,2024-07-01 19:12:21.473567527,9,support,promoter,186
1989,2399,2024-07-01 19:22:35.196096685,6,app_quality,detractor,59
2473,3034,2024-07-01 19:38:07.514931819,7,app_quality,passive,11
291,341,2024-07-01 19:52:00.617337022,6,trust,detractor,0
6246,7620,2024-07-01 20:43:06.383108936,4,fees,detractor,104
6060,7413,2024-07-01 23:20:58.726767223,10,product,promoter,39
2397,2951,2024-07-02 02:03:43.475425611,9,app_quality,promoter,2
3292,4030,2024-07-02 02:39:10.697825514,6,trust,detractor,32
6363,7759,2024-07-02 05:36:43.562412979,2,fees,detractor,54
3915,4777,2024-07-02 07:32:47.002980577,8,trust,passive,8
4263,5193,2024-07-02 10:47:09.626550351,8,trust,passive,38
4414,5398,2024-07-02 12:07:48.730660325,10,product,promoter,90
768,926,2024-07-02 12:42:20.849431098,8,app_quality,passive,36
107,126,2024-07-02 13:36:06.624335082,8,trust,passive,32
3530,4314,2024-07-02 15:58:45.099250201,8,product,passive,3
1146,1376,2024-07-02 16:30:30.697785086,7,support,passive,5
6244,7616,2024-07-02 21:27:54.513695606,4,support,detractor,42
2969,3639,2024-07-03 02:16:45.838902711,10,trust,promoter,96
2123,2582,2024-07-03 02:40:34.537023163,8,product,passive,0
128,163,2024-07-03 03:36:20.290010302,8,product,passive,16
