user_id,jtbd_segment,cohort,group,logins_per_week,tx_per_month,balance_eur,converted,upgrade_reason
1,young_professionals,Casual,control,5.3,18,1189.92,0,none
2,young_professionals,Growth,control,11.8,14,1421.25,1,status
3,young_professionals,Casual,control,8.3,11,1419.27,0,none
4,young_professionals,Casual,control,16.7,26,711.74,0,none
5,young_professionals,Growth,control,8.6,15,1590.36,0,none
6,young_professionals,Dormant,control,4.8,13,1339.3,0,none
7,young_professionals,Growth,control,12.1,10,1240.55,0,none
8,young_professionals,Casual,control,3.8,18,816.67,1,premium_features
9,young_professionals,Casual,control,12.5,16,1297.65,0,none
10,young_professionals,Casual,control,11.9,11,434.59,0,none
11,young_professionals,Power,control,10.8,12,943.65,0,none
12,young_professionals,Casual,control,7.9,19,982.17,1,cashback
13,young_professionals,Casual,control,7.3,15,1467.92,0,none
14,young_professionals,Growth,control,7.5,16,331.73,1,support
15,young_professionals,Dormant,control,5.7,18,639.83,0,none
16,young_professionals,Power,control,7.8,14,1460.65,0,none
17,young_professionals,Growth,control,3.8,18,1339.61,0,none
18,young_professionals,Casual,control,8.1,8,1332.0,0,none
19,young_professionals,Growth,control,10.3,9,816.15,0,none
20,young_professionals,Casual,control,4.0,16,317.52,0,none
21,young_professionals,Casual,control,12.0,15,1448.65,0,none
22,young_professionals,Casual,control,10.0,13,832.74,1,status
23,young_professionals,Dormant,control,8.4,16,908.22,0,none
24,young_professionals,Casual,control,15.4,18,900.42,0,none
25,young_professionals,Power,control,6.4,13,1703.09,0,none
26,young_professionals,Dormant,control,10.4,15,807.13,0,none
27,young_professionals,Power,control,4.6,21,1983.6,0,none
28,young_professionals,Casual,control,13.0,9,1309.94,0,none
29,young_professionals,Growth,control,14.9,19,970.09,0,none
30,young_professionals,Dormant,control,14.1,13,963.24,0,none
31,young_professionals,Power,control,10.2,12,1586.36,1,cashback
32,young_professionals,Casual,control,4.6,11,1749.54,0,none
33,young_professionals,Power,control,7.3,13,1522.87,0,none
34,young_professionals,Growth,control,6.5,17,1254.29,0,none
35,young_professionals,Dormant,control,15.8,22,321.93,0,none
36,young_professionals,Power,control,13.3,12,562.55,0,none
37,young_professionals,Casual,control,7.1,13,1143.44,0,none
38,young_professionals,Casual,control,16.7,12,2302.15,1,premium_features
39,young_professionals,Casual,control,10.2,19,1052.83,0,none
40,young_professionals,Growth,control,7.6,10,1057.1,1,premium_features
41,young_professionals,Power,control,10.7,17,1411.05,0,none
42,young_professionals,Dormant,control,6.4,6,2888.45,0,none
43,young_professionals,Casual,control,10.4,15,1914.69,1,support
44,young_professionals,Power,control,12.3,17,1137.91,0,none
45,young_professionals,Casual,control,14.3,14,1305.91,0,none
46,young_professionals,Power,control,2.7,14,279.68,0,none
47,young_professionals,Growth,control,8.8,17,1980.03,0,none
48,young_professionals,Casual,control,13.2,15,1463.4,0,none
49,young_professionals,Casual,control,9.2,12,493.02,0,none
50,young_professionals,Dormant,control,9.3,16,2292.39,1,support
51,young_professionals,Power,control,4.8,19,1582.52,0,none
52,young_professionals,Dormant,control,9.1,16,1387.21,0,none
53,young_professionals,Casual,control,0.8,15,1448.33,0,none
54,young_professionals,Casual,control,6.9,10,2085.57,0,none
55,young_professionals,Growth,control,6.9,17,1339.73,0,none
56,young_professionals,Growth,control,5.9,13,1430.04,0,none
57,young_professionals,Growth,control,8.5,18,706.65,0,none
58,young_professionals,Casual,control,9.0,24,2596.59,0,none
59,young_professionals,Power,control,14.8,17,1985.73,0,none
60,young_professionals,Growth,control,3.2,14,1514.51,0,none
