user_id,jtbd_segment,cohort,months_since_signup,logins_per_week,tx_per_month,balance_eur,offer_channel,converted,upgrade_reason
1,young_professionals,Casual,16,11.7,17,418.69,push,0,none
2,young_professionals,Power,11,5.9,14,1421.25,in_app,0,none
3,young_professionals,Growth,4,6.5,18,1519.39,in_app,1,cashback
4,young_professionals,Casual,19,7.5,13,1569.59,in_app,1,premium_features
5,young_professionals,Power,14,11.7,19,1525.89,none,0,none
6,young_professionals,Growth,17,9.8,17,1607.35,in_app,0,none
7,young_professionals,Growth,12,7.8,14,1034.91,in_app,0,none
8,young_professionals,Growth,17,2.9,18,1551.73,email,0,none
9,young_professionals,Power,9,12.1,14,520.03,in_app,1,premium_features
10,young_professionals,Growth,11,7.5,14,802.84,in_app,1,cashback
11,young_professionals,Growth,18,9.0,10,1599.23,email,0,none
12,young_professionals,Growth,4,2.9,9,601.65,none,0,none
13,young_professionals,Power,19,7.7,18,1076.74,in_app,0,none
14,young_professionals,Growth,24,2.8,13,843.51,none,0,none
15,young_professionals,Casual,16,9.1,16,585.9,email,1,premium_features
16,young_professionals,Growth,11,10.3,9,816.15,none,0,none
17,young_professionals,Growth,15,8.2,24,1388.11,in_app,0,none
18,young_professionals,Growth,15,10.5,16,1360.63,email,0,none
19,young_professionals,Growth,7,12.8,21,578.61,in_app,0,none
20,young_professionals,Power,1,10.0,12,764.86,email,0,none
21,young_professionals,Casual,24,12.4,12,1175.54,none,0,none
22,young_professionals,Power,8,4.6,21,1983.6,push,0,none
23,young_professionals,Growth,22,14.5,12,2234.2,in_app,1,cashback
24,young_professionals,Casual,3,14.1,13,963.24,email,0,none
25,young_professionals,Power,5,9.3,17,1170.77,push,0,none
26,young_professionals,Power,6,7.8,10,1493.11,email,0,none
27,young_professionals,Growth,13,13.8,17,1254.29,email,0,none
28,young_professionals,Growth,16,5.9,19,845.58,in_app,1,status
29,young_professionals,Casual,12,8.4,16,2526.63,email,0,none
30,young_professionals,Growth,6,8.7,20,2477.55,in_app,0,none
31,young_professionals,Casual,24,4.8,16,2237.22,email,0,none
32,young_professionals,Casual,3,10.6,12,375.06,in_app,1,premium_features
33,young_professionals,Power,11,12.6,14,1231.89,none,0,none
34,young_professionals,Power,15,8.6,12,1431.51,in_app,0,none
35,young_professionals,Growth,22,13.3,17,1137.91,email,0,none
36,young_professionals,Casual,3,0.0,14,1377.6,in_app,0,none
37,young_professionals,Growth,15,3.5,13,1163.21,push,0,none
38,young_professionals,Casual,6,11.1,15,1463.45,none,0,none
39,young_professionals,Casual,14,9.2,12,493.02,push,0,none
40,young_professionals,Power,13,13.2,9,1638.46,none,0,none
41,young_professionals,Dormant,5,14.4,23,470.06,in_app,0,none
42,young_professionals,Power,20,13.2,16,1382.62,push,0,none
43,young_professionals,Growth,6,6.9,10,2085.57,push,0,none
44,young_professionals,Casual,15,11.9,13,1340.64,in_app,0,none
45,young_professionals,Growth,8,10.4,22,1124.99,push,0,none
46,young_professionals,Casual,4,9.7,15,1997.38,push,0,none
47,young_professionals,Power,7,8.3,10,925.38,in_app,0,none
48,young_professionals,Casual,21,4.5,14,1463.78,none,0,none
49,young_professionals,Power,10,9.2,12,1621.17,none,0,none
50,young_professionals,Growth,24,11.7,21,777.2,in_app,0,none
51,young_professionals,Power,1,10.9,5,1697.71,push,0,none
52,young_professionals,Power,22,0.6,22,1853.53,none,1,premium_features
53,young_professionals,Power,17,13.9,16,843.36,push,1,premium_features
54,young_professionals,Casual,13,15.2,16,575.67,in_app,0,none
55,young_professionals,Casual,10,6.8,14,1086.45,email,0,none
56,young_professionals,Casual,5,7.8,16,1001.11,none,0,none
57,young_professionals,Growth,17,16.0,10,1296.11,email,0,none
58,young_professionals,Growth,10,8.9,14,246.26,email,0,none
59,young_professionals,Power,8,16.0,11,1408.63,push,0,none
60,young_professionals,Growth,11,11.2,19,514.84,push,0,none
61,young_professionals,Growth,20,9.3,22,1097.76,push,0,none
62,young_professionals,Casual,18,11.4,19,1028.25,email,0,none
63,young_professionals,Growth,2,7.8,13,768.31,in_app,0,none
64,young_professionals,Dormant,18,17.7,18,1479.05,push,0,none
65,young_professionals,Growth,9,11.8,15,786.98,none,0,none
66,young_professionals,Growth,1,5.8,14,2073.03,push,0,none
67,young_professionals,Growth,23,5.6,21,260.54,in_app,0,none
68,young_professionals,Growth,4,0.4,8,704.26,push,0,none
69,young_professionals,Growth,20,9.7,13,1597.6,none,0,none
70,young_professionals,Casual,19,16.3,15,747.88,none,0,none
71,young_professionals,Growth,21,5.8,14,1230.69,in_app,0,none
72,young_professionals,Power,13,8.4,22,1312.78,email,1,premium_features
