referral_id,referee_id,jtbd_segment,cohort,channel,status,reward_eur
1,1,young_professionals,Casual,in_app,sent,0.0
2,2,young_professionals,Growth,in_app,sent,0.0
3,3,young_professionals,Casual,email,first_tx,20.0
4,4,young_professionals,Casual,email,sent,0.0
5,5,young_professionals,Growth,in_app,kyc_completed,10.0
6,6,young_professionals,Growth,email,accepted,0.0
7,7,young_professionals,Casual,email,first_tx,20.0
8,8,young_professionals,Power,email,accepted,0.0
9,9,young_professionals,Growth,in_app,first_tx,20.0
10,10,young_professionals,Growth,in_app,kyc_completed,10.0
11,11,young_professionals,Casual,in_app,sent,0.0
12,12,young_professionals,Casual,in_app,accepted,0.0
13,13,young_professionals,Power,in_app,accepted,0.0
14,14,young_professionals,Growth,email,sent,0.0
15,15,young_professionals,Growth,email,first_tx,20.0
16,16,young_professionals,Growth,email,accepted,0.0
17,17,young_professionals,Growth,email,first_tx,20.0
18,18,young_professionals,Power,in_app,first_tx,20.0
19,19,young_professionals,Power,in_app,accepted,0.0
20,20,young_professionals,Casual,email,accepted,0.0
21,21,young_professionals,Power,in_app,accepted,0.0
22,22,young_professionals,Growth,in_app,first_tx,20.0
23,23,young_professionals,Growth,in_app,accepted,0.0
24,24,young_professionals,Growth,in_app,accepted,0.0
25,25,young_professionals,Casual,email,accepted,0.0
26,26,young_professionals,Casual,email,first_tx,20.0
27,27,young_professionals,Casual,in_app,first_tx,20.0
28,28,young_professionals,Power,link,sent,0.0
29,29,young_professionals,Casual,in_app,accepted,0.0
30,30,young_professionals,Growth,in_app,first_tx,20.0
31,31,young_professionals,Growth,in_app,accepted,0.0
32,32,young_professionals,Power,link,first_tx,20.0
33,33,young_professionals,Power,link,accepted,0.0
34,34,young_professionals,Power,in_app,accepted,0.0
35,35,young_professionals,Growth,in_app,first_tx,20.0
36,36,young_professionals,Growth,in_app,accepted,0.0
37,37,young_professionals,Power,email,accepted,0.0
38,38,young_professionals,Power,email,accepted,0.0
39,39,young_professionals,Power,link,first_tx,20.0
40,40,young_professionals,Growth,link,sent,0.0
41,41,young_professionals,Growth,link,first_tx,20.0
42,42,young_professionals,Casual,in_app,kyc_completed,10.0
43,43,young_professionals,Casual,email,sent,0.0
44,44,young_professionals,Casual,email,accepted,0.0
45,45,young_professionals,Growth,in_app,accepted,0.0
46,46,young_professionals,Power,link,kyc_completed,10.0
47,47,young_professionals,Power,in_app,accepted,0.0
48,48,young_professionals,Power,in_app,accepted,0.0
49,49,young_professionals,Growth,in_app,first_tx,20.0
50,50,young_professionals,Growth,in_app,accepted,0.0
51,51,young_professionals,Growth,in_app,accepted,0.0
52,52,young_professionals,Casual,in_app,accepted,0.0
53,53,young_professionals,Growth,in_app,accepted,0.0
54,54,young_professionals,Dormant,in_app,sent,0.0
55,55,young_professionals,Power,email,first_tx,20.0
56,56,young_professionals,Growth,link,accepted,0.0
57,57,young_professionals,Casual,in_app,sent,0.0
58,58,young_professionals,Power,in_app,accepted,0.0
59,59,young_professionals,Power,email,accepted,0.0
60,60,young_professionals,Growth,in_app,first_tx,20.0
61,61,young_professionals,Casual,in_app,kyc_completed,10.0
62,62,young_professionals,Casual,in_app,accepted,0.0
63,63,young_professionals,Power,link,kyc_completed,10.0
64,64,young_professionals,Power,in_app,first_tx,20.0
65,65,young_professionals,Power,in_app,accepted,0.0
66,66,young_professionals,Growth,in_app,kyc_completed,10.0
67,67,young_professionals,Casual,in_app,first_tx,20.0
68,68,young_professionals,Growth,in_app,first_tx,20.0
69,69,young_professionals,Power,link,accepted,0.0
70,70,young_professionals,Power,link,sent,0.0
71,71,young_professionals,Dormant,link,sent,0.0
72,72,young_professionals,Growth,email,first_tx,20.0
73,73,young_professionals,Casual,in_app,accepted,0.0
74,74,young_professionals,Power,in_app,first_tx,20.0
75,75,young_professionals,Growth,in_app,first_tx,20.0
76,76,young_professionals,Power,link,sent,0.0
77,77,young_professionals,Growth,in_app,accepted,0.0
78,78,young_professionals,Growth,link,accepted,0.0
79,79,young_professionals,Power,email,accepted,0.0
80,80,young_professionals,Casual,in_app,kyc_completed,10.0
81,81,young_professionals,Power,link,accepted,0.0
82,82,young_professionals,Casual,email,sent,0.0
83,83,young_professionals,Casual,link,accepted,0.0
84,84,young_professionals,Power,email,accepted,0.0
85,85,young_professionals,Growth,in_app,accepted,0.0
86,86,young_professionals,Casual,in_app,accepted,0.0
87,87,young_professionals,Power,in_app,accepted,0.0
88,88,young_professionals,Growth,email,kyc_completed,10.0
89,89,young_professionals,Casual,in_app,first_tx,20.0
90,90,young_professionals,Power,link,kyc_completed,10.0
91,91,young_professionals,Growth,link,sent,0.0
92,92,young_professionals,Growth,in_app,sent,0.0
93,93,young_professionals,Casual,link,accepted,0.0
94,94,young_professionals,Growth,in_app,accepted,0.0
95,95,young_professionals,Power,in_app,first_tx,20.0
96,96,young_professionals,Growth,in_app,accepted,0.0
97,97,young_professionals,Power,link,sent,0.0
98,98,young_professionals,Power,link,accepted,0.0
99,99,young_professionals,Growth,email,accepted,0.0
100,100,young_professionals,Power,in_app,accepted,0.0
101,101,young_professionals,Power,link,first_tx,20.0
102,102,young_professionals,Power,email,kyc_completed,10.0
103,103,young_professionals,Power,link,sent,0.0
104,104,young_professionals,Casual,email,sent,0.0
105,105,young_professionals,Power,in_app,kyc_completed,10.0
106,106,young_professionals,Growth,link,accepted,0.0
107,107,young_professionals,Power,in_app,accepted,0.0
108,108,young_professionals,Growth,in_app,kyc_completed,10.0
109,109,young_professionals,Casual,in_app,kyc_completed,10.0
110,110,young_professionals,Growth,email,accepted,0.0
111,111,young_professionals,Power,link,accepted,0.0
112,112,young_professionals,Growth,email,sent,0.0
113,113,young_professionals,Power,email,first_tx,20.0
114,114,young_professionals,Power,in_app,first_tx,20.0
115,115,young_professionals,Growth,in_app,first_tx,20.0
116,116,young_professionals,Growth,in_app,first_tx,20.0
117,117,young_professionals,Growth,email,accepted,0.0
118,118,young_professionals,Growth,in_app,first_tx,20.0
119,119,young_professionals,Growth,in_app,accepted,0.0
120,120,young_professionals,Casual,link,kyc_completed,10.0
121,121,young_professionals,Growth,link,first_tx,20.0
122,122,young_professionals,Casual,in_app,first_tx,20.0
123,123,young_professionals,Growth,email,accepted,0.0
124,124,young_professionals,Casual,in_app,accepted,0.0
125,125,young_professionals,Power,in_app,sent,0.0
126,126,young_professionals,Dormant,email,accepted,0.0
127,127,young_professionals,Casual,in_app,first_tx,20.0
128,128,young_professionals,Growth,in_app,accepted,0.0
129,129,young_professionals,Dormant,email,sent,0.0
130,130,young_professionals,Dormant,in_app,first_tx,20.0
131,131,young_professionals,Casual,in_app,first_tx,20.0
132,132,young_professionals,Casual,in_app,first_tx,20.0
133,133,young_professionals,Growth,in_app,kyc_completed,10.0
134,134,young_professionals,Growth,email,accepted,0.0
135,135,young_professionals,Power,in_app,kyc_completed,10.0
136,136,young_professionals,Growth,email,sent,0.0
137,137,young_professionals,Growth,link,accepted,0.0
138,138,young_professionals,Growth,in_app,first_tx,20.0
139,139,young_professionals,Casual,email,first_tx,20.0
140,140,young_professionals,Power,link,first_tx,20.0
141,141,young_professionals,Power,in_app,accepted,0.0
142,142,young_professionals,Dormant,email,sent,0.0
143,143,young_professionals,Casual,link,sent,0.0
144,144,young_professionals,Dormant,email,sent,0.0
145,145,young_professionals,Power,email,accepted,0.0
146,146,young_professionals,Growth,link,sent,0.0
147,147,young_professionals,Power,email,first_tx,20.0
148,148,young_professionals,Power,email,accepted,0.0
149,149,young_professionals,Growth,link,accepted,0.0
150,150,young_professionals,Power,email,accepted,0.0
151,151,young_professionals,Casual,in_app,first_tx,20.0
152,152,young_professionals,Growth,email,sent,0.0
153,153,young_professionals,Casual,email,sent,0.0
154,154,young_professionals,Power,in_app,accepted,0.0
155,155,young_professionals,Power,email,first_tx,20.0
156,156,young_professionals,Casual,email,accepted,0.0
157,157,young_professionals,Growth,link,accepted,0.0
158,158,young_professionals,Growth,in_app,first_tx,20.0
