referral_id,referrer_id,referee_id,invite_date,status,reward_eur,channel
11659,5362,19659,2024-07-01 00:49:01.839794776,sent,0.0,in_app
2868,6751,10868,2024-07-01 01:38:33.974797813,accepted,0.0,link
11246,5669,19246,2024-07-01 02:20:57.762906570,sent,0.0,in_app
3031,6965,11031,2024-07-01 02:36:05.646732814,first_tx,20.0,in_app
13502,1865,21502,2024-07-01 03:39:45.177078081,sent,0.0,in_app
1250,6073,9250,2024-07-01 04:08:06.889772518,kyc_completed,10.0,link
11523,4345,19523,2024-07-01 05:13:53.110422670,first_tx,20.0,link
10477,7046,18477,2024-07-01 06:27:46.048437446,sent,0.0,in_app
2264,7503,10264,2024-07-01 07:30:37.921732277,sent,0.0,in_app
6819,2284,14819,2024-07-01 07:46:46.729164996,sent,0.0,in_app
14327,3687,22327,2024-07-01 07:55:53.025452564,accepted,0.0,email
5242,602,13242,2024-07-01 08:14:54.694276146,first_tx,20.0,in_app
11648,3693,19648,2024-07-01 08:28:05.524387118,sent,0.0,in_app
3663,2548,11663,2024-07-01 08:31:39.127269411,first_tx,20.0,in_app
4454,208,12454,2024-07-01 08:59:47.827664329,accepted,0.0,email
4747,6248,12747,2024-07-01 09:15:21.459291235,sent,0.0,in_app
11277,4899,19277,2024-07-01 09:19:21.340380195,first_tx,20.0,in_app
12625,4068,20625,2024-07-01 09:55:30.410343143,accepted,0.0,in_app
10209,6314,18209,2024-07-01 10:43:24.562492135,accepted,0.0,in_app
791,2624,8791,2024-07-01 13:03:10.393897933,accepted,0.0,email
11251,4075,19251,2024-07-01 13:16:29.261662674,accepted,0.0,link
1841,4733,9841,2024-07-01 14:21:46.660881317,sent,0.0,in_app
5484,4239,13484,2024-07-01 18:34:32.576260154,accepted,0.0,email
4887,6457,12887,2024-07-01 19:12:21.473567527,sent,0.0,email
5108,5770,13108,2024-07-01 19:22:35.196096685,first_tx,20.0,in_app
11154,7687,19154,2024-07-01 19:22:56.404349529,sent,0.0,email
5496,5558,13496,2024-07-01 19:38:07.514931819,first_tx,20.0,in_app
11309,4589,19309,2024-07-01 22:05:52.886945711,sent,0.0,in_app
5012,327,13012,2024-07-01 22:35:11.304267817,sent,0.0,in_app
13307,7541,21307,2024-07-01 22:38:34.272947875,accepted,0.0,in_app
8679,238,16679,2024-07-02 00:45:44.472336880,sent,0.0,in_app
9409,4354,17409,2024-07-02 01:46:05.786245850,accepted,0.0,in_app
8223,4356,16223,2024-07-02 03:09:01.454193483,sent,0.0,in_app
1837,7727,9837,2024-07-02 05:42:17.372690282,accepted,0.0,email
9451,6419,17451,2024-07-02 06:03:22.893054128,accepted,0.0,email
8841,4065,16841,2024-07-02 06:39:03.588252874,sent,0.0,link
3275,1881,11275,2024-07-02 08:22:24.347999294,accepted,0.0,link
9527,4080,17527,2024-07-02 08:33:45.937374644,kyc_completed,10.0,in_app
8110,711,16110,2024-07-02 09:07:05.758549622,sent,0.0,email
4044,2892,12044,2024-07-02 09:55:02.520468373,sent,0.0,in_app
2938,1543,10938,2024-07-02 10:34:48.101889987,accepted,0.0,link
6075,2797,14075,2024-07-02 10:51:41.541817547,sent,0.0,link
10551,4136,18551,2024-07-02 11:22:25.871216545,first_tx,20.0,in_app
14726,1535,22726,2024-07-02 12:29:59.947219705,accepted,0.0,in_app
8099,623,16099,2024-07-02 12:37:26.073005782,first_tx,20.0,link
3865,5401,11865,2024-07-02 12:44:30.394575384,accepted,0.0,email
3589,2294,11589,2024-07-02 13:13:09.579707564,accepted,0.0,email
3584,5728,11584,2024-07-02 13:36:06.624335082,accepted,0.0,in_app
14693,555,22693,2024-07-02 14:22:33.308590373,accepted,0.0,email
2371,3339,10371,2024-07-02 15:48:39.495044687,first_tx,20.0,link
3420,4591,11420,2024-07-02 15:58:57.208958149,first_tx,20.0,link
6665,1097,14665,2024-07-02 16:01:16.706936326,first_tx,20.0,email
5904,4900,13904,2024-07-02 16:55:42.115244050,sent,0.0,in_app
12792,7828,20792,2024-07-02 17:05:42.382974301,sent,0.0,in_app
1181,4033,9181,2024-07-02 18:11:15.172409541,sent,0.0,in_app
10975,5198,18975,2024-07-02 19:20:56.913627649,accepted,0.0,link
12691,7599,20691,2024-07-02 19:54:28.952697674,sent,0.0,in_app
2725,6274,10725,2024-07-02 20:13:14.838654339,kyc_completed,10.0,in_app
14864,1500,22864,2024-07-02 20:15:04.428879482,first_tx,20.0,link
13983,3746,21983,2024-07-02 20:32:02.600453440,accepted,0.0,email
8538,1680,16538,2024-07-02 21:27:54.513695606,first_tx,20.0,link
6822,218,14822,2024-07-02 22:57:15.231760836,sent,0.0,email
3978,6434,11978,2024-07-03 00:00:49.166286284,accepted,0.0,email
