ticket_id,user_id,created_at,resolved_at,category,priority,channel,csat_score,status
1571,1729,2024-07-01 00:37:15.253226117,2024-07-01 07:42:55.837252016,app,high,email,4.0,resolved
5263,5826,2024-07-01 00:45:14.560188592,,card,high,in_app_chat,,closed_unresolved
1404,1538,2024-07-01 01:49:28.382484452,2024-07-03 18:47:37.356020817,account,low,email,,resolved
6890,7671,2024-07-01 02:54:11.846693289,2024-07-03 09:46:14.597896183,kyc,low,in_app_chat,4.0,resolved
1136,1259,2024-07-01 03:51:09.028228510,2024-07-01 23:33:08.216764130,kyc,medium,email,5.0,resolved
394,439,2024-07-01 07:17:18.153176472,2024-07-02 01:44:58.184743496,account,medium,in_app_chat,,resolved
6417,7194,2024-07-01 07:55:53.025452564,2024-07-04 23:42:11.487592424,kyc,low,in_app_chat,3.0,resolved
3,2,2024-07-01 09:05:29.031999201,2024-07-02 14:15:56.867232235,app,medium,in_app_chat,4.0,resolved
4594,5083,2024-07-01 09:19:21.340380195,2024-07-01 10:10:48.423416668,billing,urgent,in_app_chat,5.0,resolved
2715,3047,2024-07-01 15:35:54.767282496,2024-07-01 18:32:09.585305372,card,high,in_app_chat,3.0,resolved
5036,5601,2024-07-01 16:35:39.076772213,2024-07-05 08:59:32.951197965,app,low,email,,resolved
3856,4309,2024-07-01 16:40:41.952177396,,account,low,email,,closed_unresolved
824,903,2024-07-01 19:12:21.473567527,2024-07-02 02:52:05.157355075,fraud,high,in_app_chat,,resolved
2026,2235,2024-07-01 21:47:26.264954230,2024-07-03 02:43:22.445768311,card,medium,in_app_chat,5.0,resolved
5811,6473,2024-07-01 22:38:34.272947875,2024-07-04 00:01:24.313658087,account,low,phone,5.0,resolved
4831,5389,2024-07-02 00:13:09.625553950,2024-07-03 02:17:09.237405086,account,low,phone,3.0,resolved
2141,2360,2024-07-02 04:39:38.939042347,2024-07-02 22:14:02.359710725,billing,medium,in_app_chat,5.0,resolved
4330,4826,2024-07-02 05:36:19.431813977,2024-07-02 11:30:39.641272163,billing,high,in_app_chat,5.0,resolved
387,430,2024-07-02 06:51:44.802946033,2024-07-02 11:05:56.493878305,billing,high,in_app_chat,4.0,resolved
3560,3995,2024-07-02 08:33:45.937374644,2024-07-02 12:02:28.856551799,app,high,in_app_chat,,resolved
3546,3970,2024-07-02 09:23:08.065718016,2024-07-02 16:55:43.611278699,card,medium,phone,3.0,resolved
4977,5550,2024-07-02 12:54:26.991743322,,kyc,medium,in_app_chat,,closed_unresolved
114,123,2024-07-02 16:28:35.790802317,2024-07-06 01:32:55.910964185,app,low,in_app_chat,,resolved
1310,1427,2024-07-02 17:24:27.981107190,,billing,medium,email,,open
264,289,2024-07-02 17:32:08.342834625,2024-07-03 05:24:22.705849227,app,high,in_app_chat,5.0,resolved
4244,4733,2024-07-02 19:50:22.184392424,2024-07-04 11:32:30.443803692,card,medium,phone,4.0,resolved
2254,2500,2024-07-02 20:16:44.434922851,2024-07-03 03:10:34.492412791,kyc,high,email,5.0,resolved
1975,2181,2024-07-02 20:28:55.117352380,2024-07-04 11:27:18.080458465,card,low,in_app_chat,4.0,resolved
6920,7703,2024-07-02 21:05:50.985729942,2024-07-04 11:03:58.494681277,account,medium,in_app_chat,4.0,resolved
3535,3960,2024-07-03 00:25:06.261220882,2024-07-04 09:11:58.928764691,card,medium,in_app_chat,4.0,resolved
6421,7198,2024-07-03 00:28:48.927734480,2024-07-03 14:02:09.450958917,kyc,low,in_app_chat,3.0,resolved
5905,6582,2024-07-03 02:36:44.321635897,2024-07-04 02:17:41.773097036,fraud,high,in_app_chat,,resolved
1017,1123,2024-07-03 02:40:34.537023163,2024-07-05 05:48:19.707855418,kyc,medium,in_app_chat,5.0,resolved
2575,2895,2024-07-03 02:55:28.861921729,2024-07-03 05:23:24.055859882,app,high,email,5.0,resolved
3397,3807,2024-07-03 04:18:43.107683149,2024-07-04 00:42:47.868275215,billing,medium,in_app_chat,,resolved
1175,1295,2024-07-03 05:52:31.627310756,2024-07-03 11:55:44.887164940,kyc,high,in_app_chat,4.0,resolved
4962,5535,2024-07-03 05:56:23.163346083,2024-07-03 09:42:06.782404759,app,medium,in_app_chat,5.0,resolved
2584,2907,2024-07-03 06:36:52.564360544,2024-07-04 11:32:21.711800228,app,medium,in_app_chat,4.0,resolved
2160,2382,2024-07-03 07:55:10.607355906,2024-07-04 12:18:18.215175478,app,medium,in_app_chat,4.0,resolved
7188,7994,2024-07-03 08:14:40.408437793,,card,low,email,,closed_unresolved
4879,5444,2024-07-03 08:26:00.088201631,2024-07-03 15:35:13.931424723,billing,high,in_app_chat,5.0,resolved
6670,7458,2024-07-03 08:36:45.758474576,2024-07-03 15:16:25.190656659,account,high,email,4.0,resolved
5035,5601,2024-07-03 08:52:37.601115015,2024-07-06 08:20:30.523625853,billing,low,in_app_chat,,resolved
7068,7868,2024-07-03 10:26:29.667399817,2024-07-03 22:38:07.151273681,kyc,high,in_app_chat,4.0,resolved
5870,6542,2024-07-03 11:50:46.171291260,2024-07-05 18:21:18.868356582,account,low,in_app_chat,3.0,resolved
784,865,2024-07-03 17:06:40.554971853,2024-07-03 22:57:04.090060548,card,medium,in_app_chat,,resolved
3872,4322,2024-07-03 17:48:07.527101397,2024-07-04 02:38:37.648551498,kyc,medium,in_app_chat,5.0,resolved
1066,1173,2024-07-03 19:32:08.286277381,2024-07-04 03:43:47.714670315,billing,medium,phone,,resolved
3296,3696,2024-07-03 20:44:02.835885194,2024-07-04 18:44:20.063183516,app,medium,email,,resolved
22,17,2024-07-03 21:39:05.085061784,2024-07-04 12:25:25.817993667,kyc,medium,in_app_chat,5.0,resolved
3968,4430,2024-07-03 23:06:04.772447449,2024-07-05 03:19:08.255343158,billing,medium,email,5.0,resolved
3191,3575,2024-07-04 01:46:41.734135007,2024-07-07 02:25:53.279635621,card,medium,email,4.0,resolved
4756,5292,2024-07-04 04:42:01.308498085,2024-07-05 22:58:39.383116087,app,low,in_app_chat,4.0,resolved
5203,5767,2024-07-04 05:40:05.598604992,2024-07-04 11:49:15.668833443,account,medium,in_app_chat,4.0,resolved
678,752,2024-07-04 07:38:35.993911148,2024-07-08 07:05:55.180047035,billing,low,in_app_chat,3.0,resolved
1344,1459,2024-07-04 09:03:36.709424576,,app,low,in_app_chat,,closed_unresolved
5648,6291,2024-07-04 10:05:13.153837027,2024-07-04 17:05:11.829256879,fraud,high,in_app_chat,,resolved
1212,1332,2024-07-04 10:57:52.827767447,2024-07-10 16:48:28.887195767,app,low,email,3.0,resolved
465,517,2024-07-04 11:05:51.282423954,2024-07-06 11:33:28.855893291,billing,medium,email,4.0,resolved
3308,3703,2024-07-04 12:20:32.832356798,2024-07-07 18:16:16.514861642,card,low,in_app_chat,3.0,resolved
4954,5529,2024-07-04 15:12:49.500096707,2024-07-05 01:26:07.027718067,card,medium,phone,4.0,resolved
3285,3683,2024-07-04 16:23:36.008832408,2024-07-05 09:27:57.611623215,account,low,in_app_chat,3.0,resolved
620,695,2024-07-04 19:53:27.367664786,2024-07-06 11:56:04.315916744,billing,medium,email,4.0,resolved
2578,2899,2024-07-04 22:17:16.946962722,2024-07-07 17:11:39.994790468,card,medium,email,4.0,resolved
5575,6215,2024-07-05 00:06:50.772799195,2024-07-05 04:08:26.789211257,kyc,high,in_app_chat,4.0,resolved
2645,2980,2024-07-05 00:27:46.663373203,2024-07-07 14:34:16.917144430,app,low,in_app_chat,4.0,resolved
594,665,2024-07-05 00:32:04.357512147,2024-07-05 14:21:43.218943492,card,medium,phone,3.0,resolved
