transaction_id,user_id,tx_date,amount_eur,category,merchant,channel,status,country
64267,3903,2025-01-01 00:01:16.632144543,8.16,transport,FlixBus,card,completed,FR
53104,3233,2025-01-01 00:02:00.328105988,35.73,health,Pharmacy Plus,online,completed,DE
20122,1220,2025-01-01 00:13:31.431162138,27.83,dining,Deliveroo,card,completed,FR
28598,1764,2025-01-01 00:15:40.330125213,11.72,health,Apollo,card,completed,IT
56970,3434,2025-01-01 00:37:09.874314310,17.97,transport,FlixBus,atm,completed,ES
48400,2966,2025-01-01 00:38:40.724821631,31.7,dining,Deliveroo,card,completed,FR
79207,4794,2025-01-01 00:42:50.659618236,61.26,shopping,IKEA,card,completed,NL
47957,2939,2025-01-01 00:43:10.356990798,17.93,dining,Pizza Express,online,completed,AT
3067,191,2025-01-01 01:12:42.940190396,39.36,groceries,Rewe,online,completed,DE
62878,3811,2025-01-01 01:33:36.838671295,205.63,bills,Utility Co,card,completed,DE
54824,3317,2025-01-01 01:54:57.805909505,92.69,cash,ATM Withdrawal,online,completed,IT
47438,2907,2025-01-01 02:02:18.725488967,72.9,shopping,H&M,p2p,completed,DE
26022,1590,2025-01-01 02:23:01.384845607,47.66,groceries,Tesco,card,completed,DE
80142,4857,2025-01-01 02:28:06.472067445,63.84,groceries,Tesco,p2p,completed,DE
33128,2045,2025-01-01 02:28:39.270322136,23.45,dining,Starbucks,card,completed,DE
55905,3374,2025-01-01 02:32:34.193844657,47.36,shopping,Amazon,card,completed,FR
47496,2913,2025-01-01 02:32:38.037474542,20.63,shopping,H&M,card,completed,NL
61638,3740,2025-01-01 02:37:15.632146067,45.49,groceries,Lidl,card,completed,ES
57322,3452,2025-01-01 02:41:09.486136950,32.94,health,Dr. Klein,card,completed,NL
26539,1623,2025-01-01 02:47:40.786017262,20.2,dining,Starbucks,card,completed,DE
28992,1789,2025-01-01 02:54:10.565261694,27.25,dining,Starbucks,atm,completed,AT
15173,916,2025-01-01 03:12:26.457906646,24.87,transport,DB Bahn,online,completed,NL
26476,1621,2025-01-01 03:12:34.697524933,60.13,p2p,P2P Transfer,card,completed,DE
21574,1306,2025-01-01 03:23:18.456658261,53.67,travel,Airbnb,card,refunded,DE
9990,601,2025-01-01 03:24:50.537260733,22.47,health,Dr. Klein,card,completed,FR
67180,4076,2025-01-01 03:34:22.851725018,17.37,health,Dr. Klein,card,completed,FR
10384,634,2025-01-01 03:58:34.562478273,514.84,travel,Booking.com,atm,completed,DE
76014,4612,2025-01-01 04:07:18.892914147,89.79,shopping,H&M,card,completed,IT
25102,1527,2025-01-01 04:10:41.351672637,158.7,travel,Ryanair,card,completed,IT
23017,1392,2025-01-01 04:31:53.734395475,113.65,bills,Allianz,card,completed,FR
1981,124,2025-01-01 04:50:28.262328892,63.9,dining,McDonald's,card,completed,IT
3623,226,2025-01-01 04:51:37.480852074,102.74,shopping,Amazon,online,completed,AT
32261,1994,2025-01-01 04:57:54.414678890,67.24,bills,Allianz,card,completed,PL
36274,2227,2025-01-01 04:59:49.646605597,23.13,transport,FlixBus,card,refunded,AT
18510,1125,2025-01-01 05:03:24.216822109,14.77,transport,City Metro,card,completed,FR
32981,2034,2025-01-01 05:05:28.337395505,64.29,shopping,Zalando,card,completed,DE
30643,1897,2025-01-01 05:09:50.156589827,175.64,shopping,IKEA,card,completed,DE
81047,4917,2025-01-01 05:22:29.046288190,173.95,travel,Trainline,card,completed,BE
54922,3319,2025-01-01 05:28:58.801828877,36.93,groceries,Edeka,online,completed,DE
60765,3679,2025-01-01 05:34:42.069626022,44.13,transport,FlixBus,card,completed,NL
15846,958,2025-01-01 05:35:00.267505408,30.98,health,Apollo,card,completed,PL
20496,1241,2025-01-01 05:36:13.072363032,184.82,travel,Airbnb,card,completed,DE
8397,506,2025-01-01 05:36:36.953250396,34.7,groceries,Aldi,card,completed,DE
48788,2986,2025-01-01 05:39:45.994211979,98.05,health,Pharmacy Plus,card,completed,NL
50998,3124,2025-01-01 05:45:59.847338278,19.7,dining,Starbucks,card,completed,AT
79063,4786,2025-01-01 05:48:59.159033426,11.08,dining,Deliveroo,online,completed,IT
40918,2512,2025-01-01 05:58:01.794890205,23.03,transport,City Metro,card,completed,FR
2147,133,2025-01-01 05:58:33.082609152,36.2,groceries,Tesco,online,completed,FR
24227,1471,2025-01-01 06:02:42.446079899,15.38,transport,Uber,card,completed,IT
40496,2482,2025-01-01 06:17:19.717216598,53.92,shopping,H&M,card,completed,FR
71277,4327,2025-01-01 06:34:52.286820536,25.83,dining,Pizza Express,card,completed,DE
7450,447,2025-01-01 06:35:33.338257123,24.6,groceries,Lidl,p2p,completed,DE
80072,4854,2025-01-01 06:56:02.349430998,79.15,dining,Deliveroo,card,completed,DE
42002,2570,2025-01-01 07:09:50.771957158,212.06,cash,ATM Withdrawal,card,completed,FR
17930,1090,2025-01-01 07:12:55.458353851,72.55,groceries,Carrefour,p2p,completed,IT
26866,1650,2025-01-01 07:36:08.850968904,46.96,health,FitLife Gym,online,completed,DE
64631,3933,2025-01-01 07:42:39.324203591,49.37,groceries,Carrefour,card,completed,BE
34394,2118,2025-01-01 07:59:36.772754225,23.89,groceries,Carrefour,card,completed,DE
55995,3380,2025-01-01 08:10:41.020142041,13.07,groceries,Tesco,card,completed,DE
81543,4954,2025-01-01 08:16:30.937853452,29.12,dining,Cafe Nero,card,completed,NL
8553,512,2025-01-01 08:21:50.034162562,13.21,transport,Uber,card,completed,BE
81507,4952,2025-01-01 08:29:38.779304426,116.95,bills,Rent Direct,card,completed,DE
78480,4752,2025-01-01 08:32:28.819441357,10.12,transport,FlixBus,p2p,completed,DE
6558,400,2025-01-01 08:49:03.232199288,32.65,shopping,Amazon,card,completed,NL
23743,1441,2025-01-01 08:49:31.100861009,74.25,groceries,Edeka,card,completed,FR
27948,1726,2025-01-01 08:51:47.481946804,19.83,health,Dr. Klein,online,completed,DE
38160,2340,2025-01-01 08:54:44.100187211,74.25,bills,Allianz,card,completed,DE
53915,3277,2025-01-01 09:15:51.070266610,55.89,shopping,Amazon,online,completed,NL
29197,1802,2025-01-01 09:18:15.975171604,235.98,bills,Vodafone,card,completed,NL
31583,1948,2025-01-01 09:24:56.457505097,178.28,shopping,IKEA,card,completed,ES
54668,3309,2025-01-01 09:25:49.853591163,52.74,health,FitLife Gym,online,completed,BE
28836,1779,2025-01-01 09:29:58.046015656,15.09,dining,Pizza Express,online,completed,FR
