user_id,segment,currency,tx_type,amount_eur,revenue_eur,cost_eur,margin_eur
1,travelers,USD,fx,49.76,0.3257,0.6518,-0.3261
1,travelers,THB,fx,119.4,0.8001,1.403,-0.6029
1,travelers,EUR,card,160.58,0.5442,0.1728,0.3713
1,travelers,JPY,fx,151.62,1.0587,1.6508,-0.5921
1,travelers,USD,fx,164.01,1.1392,1.7518,-0.6126
1,travelers,GBP,fx,133.16,0.9513,1.5135,-0.5621
1,travelers,GBP,fx,105.37,0.7187,1.1547,-0.436
1,travelers,JPY,fx,115.9,0.7772,1.255,-0.4778
1,travelers,USD,fx,146.76,1.0552,1.5637,-0.5085
1,travelers,JPY,fx,127.87,0.9341,1.4447,-0.5106
1,travelers,GBP,fx,122.43,0.8694,1.4177,-0.5483
1,travelers,GBP,fx,103.07,0.6984,1.1644,-0.466
1,travelers,JPY,fx,88.83,0.6519,0.9509,-0.299
1,travelers,THB,fx,141.1,1.0229,1.623,-0.6001
1,travelers,THB,fx,103.36,0.7545,1.1722,-0.4177
1,travelers,USD,fx,86.9,0.6234,1.0263,-0.4028
1,travelers,USD,fx,104.62,0.7381,1.2336,-0.4955
1,travelers,GBP,fx,96.17,0.661,1.0905,-0.4295
1,travelers,JPY,fx,137.53,0.9401,1.5263,-0.5861
1,travelers,GBP,fx,143.95,1.0027,1.5559,-0.5532
1,travelers,THB,fx,59.26,0.3848,0.6935,-0.3087
1,travelers,EUR,atm,87.4,0.0,0.852,-0.852
1,travelers,GBP,fx,86.39,0.5985,0.9657,-0.3672
1,travelers,EUR,card,57.82,0.2283,0.0787,0.1496
1,travelers,THB,fx,67.94,0.4773,0.8075,-0.3302
1,travelers,GBP,fx,177.66,1.2288,1.828,-0.5993
1,travelers,THB,fx,127.92,0.9563,1.4889,-0.5326
1,travelers,THB,fx,77.2,0.5231,0.8793,-0.3562
1,travelers,USD,fx,70.44,0.5087,0.8449,-0.3362
2,travelers,USD,fx,191.88,1.5389,2.1117,-0.5728
2,travelers,USD,fx,43.25,0.3068,0.5588,-0.252
2,travelers,JPY,fx,114.93,0.8474,1.3095,-0.4621
2,travelers,GBP,fx,82.72,0.5305,0.9534,-0.4229
2,travelers,USD,fx,183.65,1.2939,2.0841,-0.7902
2,travelers,EUR,card,85.26,0.2947,0.1165,0.1782
2,travelers,THB,fx,150.19,1.0038,1.7288,-0.725
2,travelers,THB,fx,118.53,0.8026,1.3651,-0.5625
2,travelers,THB,fx,75.88,0.4972,0.9166,-0.4194
2,travelers,JPY,fx,115.73,0.8217,1.3927,-0.571
2,travelers,JPY,fx,105.21,0.7772,1.2278,-0.4507
2,travelers,GBP,fx,75.92,0.4951,0.9842,-0.4892
2,travelers,GBP,fx,113.54,0.7795,1.3793,-0.5998
2,travelers,USD,fx,87.79,0.6343,1.0076,-0.3733
2,travelers,USD,fx,114.12,0.8123,1.382,-0.5697
2,travelers,USD,fx,46.19,0.3226,0.5861,-0.2636
2,travelers,THB,fx,88.39,0.6084,1.0812,-0.4728
2,travelers,JPY,fx,102.57,0.7062,1.2346,-0.5284
2,travelers,USD,fx,168.15,1.1679,1.7677,-0.5998
2,travelers,THB,fx,126.36,0.8365,1.42,-0.5834
2,travelers,THB,fx,210.63,1.6128,2.16,-0.5473
2,travelers,GBP,fx,98.73,0.702,1.2059,-0.5039
2,travelers,GBP,fx,96.45,0.6027,1.1054,-0.5028
2,travelers,JPY,fx,199.6,1.3602,2.0519,-0.6917
2,travelers,JPY,fx,56.72,0.3679,0.7936,-0.4256
2,travelers,JPY,fx,186.13,1.4922,1.8935,-0.4013
2,travelers,THB,fx,132.3,1.0061,1.4003,-0.3942
2,travelers,JPY,fx,135.65,0.9317,1.4964,-0.5647
2,travelers,JPY,fx,111.43,0.7696,1.2789,-0.5093
2,travelers,GBP,fx,156.46,1.1037,1.7447,-0.641
2,travelers,THB,fx,120.0,0.8097,1.3714,-0.5617
2,travelers,JPY,fx,195.35,1.4751,2.1441,-0.6691
2,travelers,USD,fx,79.95,0.593,0.962,-0.369
2,travelers,EUR,card,153.39,0.5218,0.1638,0.358
2,travelers,THB,fx,121.89,0.8408,1.3618,-0.521
2,travelers,JPY,fx,125.49,0.9431,1.2246,-0.2815
2,travelers,THB,fx,130.66,0.8976,1.3286,-0.431
3,travelers,THB,fx,151.1,1.0403,1.6559,-0.6156
3,travelers,USD,fx,166.8,1.2016,1.9755,-0.7739
3,travelers,GBP,fx,135.81,1.0335,1.5412,-0.5076
3,travelers,THB,fx,122.4,0.8269,1.4419,-0.615
3,travelers,THB,fx,148.16,1.0273,1.7272,-0.6999
3,travelers,THB,fx,146.31,0.9437,1.6077,-0.664
3,travelers,EUR,card,174.4,0.5915,0.1876,0.4039
3,travelers,EUR,card,76.2,0.2693,0.0977,0.1716
3,travelers,THB,fx,141.92,0.8796,1.593,-0.7134
3,travelers,JPY,fx,178.18,1.1186,1.8747,-0.7561
3,travelers,JPY,fx,63.06,0.474,0.795,-0.321
3,travelers,JPY,fx,149.3,1.1009,1.6621,-0.5612
3,travelers,JPY,fx,129.73,0.8689,1.4366,-0.5677
3,travelers,JPY,fx,155.99,1.0342,1.6992,-0.6651
3,travelers,USD,fx,93.23,0.6258,1.0933,-0.4675
3,travelers,USD,fx,167.84,1.2252,1.9054,-0.6802
3,travelers,GBP,fx,203.8,1.4119,1.9688,-0.5568
3,travelers,USD,fx,123.88,0.924,1.2776,-0.3536
3,travelers,THB,fx,62.35,0.4191,0.7905,-0.3714
