segment,control,treatment,lift,p_value,significant
age_group=35-44,0.5743,0.6743,10.0,0.0,True
age_group=25-34,0.5806,0.6043,2.4,0.1665,False
age_group=45+,0.5181,0.5239,0.6,0.8623,False
age_group=18-24,0.5259,0.572,4.6,0.0398,True
device=android,0.5363,0.6212,8.5,0.0,True
device=ios,0.5866,0.5933,0.7,0.6887,False
device=web,0.5479,0.6011,5.3,0.0456,True
channel=website,0.5376,0.5655,2.8,0.167,False
channel=app_store,0.5671,0.5949,2.8,0.1296,False
channel=google_play,0.5678,0.6354,6.8,0.0002,True
channel=referral,0.558,0.6462,8.8,0.0007,True
