customer_id,group,age_group,device,channel,pre_kyc_rate,kyc_completed,churned_30d,revenue_30d_eur
0,control,35-44,android,website,0.3999,1,0,18.93
1,control,25-34,ios,website,0.5344,1,0,23.32
2,control,45+,ios,app_store,0.3961,1,0,18.66
3,control,35-44,android,app_store,0.7493,0,0,10.62
4,control,18-24,android,google_play,0.543,1,0,18.08
5,control,45+,android,app_store,0.5061,0,0,8.36
6,control,35-44,ios,google_play,0.6546,1,0,23.86
7,control,35-44,ios,referral,0.7044,0,1,8.99
8,control,18-24,ios,app_store,0.6343,1,0,29.83
9,control,25-34,android,google_play,0.4509,1,0,7.43
10,control,25-34,android,website,0.6308,1,0,19.59
11,control,45+,ios,google_play,0.6457,1,0,17.33
12,control,35-44,android,app_store,0.5807,0,0,3.9
13,control,35-44,ios,app_store,0.6165,0,0,2.07
14,control,25-34,android,referral,0.3478,1,0,14.74
15,control,25-34,android,app_store,0.4665,0,0,0.0
16,control,35-44,ios,website,0.6275,1,0,18.58
17,control,18-24,ios,website,0.612,0,0,6.86
18,control,35-44,ios,app_store,0.6843,1,0,15.04
19,control,35-44,android,website,0.5399,1,0,16.03
20,control,35-44,web,app_store,0.7501,0,0,0.99
21,control,25-34,ios,app_store,0.6864,0,0,0.0
22,control,45+,web,google_play,0.4845,0,0,2.65
23,control,45+,ios,referral,0.7406,0,0,4.74
24,control,35-44,ios,app_store,0.5383,0,0,8.03
25,control,18-24,ios,app_store,0.4383,0,1,0.0
26,control,25-34,android,referral,0.5623,1,0,17.82
27,control,18-24,android,app_store,0.4553,1,0,25.07
28,control,18-24,ios,referral,0.5568,0,0,0.0
29,control,35-44,android,website,0.6098,0,0,8.06
30,control,35-44,android,google_play,0.5933,0,0,1.92
31,control,45+,web,website,0.4653,0,0,6.06
32,control,25-34,android,website,0.5307,1,0,16.69
33,control,25-34,ios,app_store,0.421,1,0,20.75
34,control,25-34,ios,referral,0.5148,0,0,9.29
35,control,18-24,android,referral,0.5152,1,0,17.27
36,control,18-24,web,referral,0.4886,0,0,7.09
37,control,25-34,android,website,0.5075,1,0,19.65
38,control,25-34,web,google_play,0.6983,1,0,13.28
39,control,35-44,ios,google_play,0.63,0,0,2.98
40,control,25-34,android,app_store,0.4602,1,0,16.75
41,control,35-44,android,google_play,0.5326,0,0,0.0
42,control,35-44,android,website,0.6828,1,0,20.75
43,control,25-34,android,website,0.6486,1,0,21.95
44,control,35-44,android,google_play,0.6437,1,0,22.87
45,control,35-44,web,google_play,0.481,0,0,8.65
46,control,25-34,android,website,0.5505,1,0,23.72
47,control,25-34,ios,google_play,0.6467,1,0,14.38
48,control,35-44,android,referral,0.618,0,1,2.1
